datum,exchange,ticker,score,price,rs,eps_q_growth,eps_cagr,inst_pct,pct_from_high,vol_ratio,stop,c_ok,a_ok,n_ok,s_ok,l_ok,i_ok,m_ok,total_score
2026-06-29,042 Parijs,IPN.PA,5,165.0,80.3,-3.9,-17.0,21.1,3.6,1.29,151.8,False,False,True,True,True,True,True,76.1
2026-06-29,042 Parijs,FII.PA,5,65.4,87.9,0.0,92.9,29.0,6.2,0.98,60.17,False,True,True,False,True,True,True,67.6
2026-06-29,042 Parijs,DBG.PA,4,9.65,84.6,16.3,-5.6,26.7,8.0,0.9,8.88,False,False,True,False,True,True,True,56.9
2026-06-29,042 Parijs,NEX.PA,5,142.5,74.0,0.0,26.2,63.7,13.6,1.28,131.1,False,True,True,True,False,True,True,50
