datum,exchange,ticker,score,price,rsi_monthly,rsi_label,macd_label,rr_pct,rr_label,support,support_label,resistance,stop,div_yield,div_label
2026-06-23,048 Nasdaq/NYSE,INTU,4,258.05,28.5,✓ oververkocht (28.5),✗ neutraal (-61.615),210.8,✓ 210.8% opwaarts (ratio 16.6:1),257.77,✓ 0.1% boven bodem (257.77),801.96,225.38,186.0,✓ 186.00%
2026-06-23,048 Nasdaq/NYSE,ACN,4,127.01,25.9,✓ oververkocht (25.9),✗ neutraal (-37.364),136.8,✓ 136.8% opwaarts (ratio 9.8:1),124.83,✓ 1.7% boven bodem (124.83),300.71,109.33,522.0,✓ 522.00%
2026-06-23,048 Nasdaq/NYSE,CTSH,4,40.95,32.6,✓ oververkocht (32.6),✗ neutraal (-4.198),109.2,✓ 109.2% opwaarts (ratio 9.4:1),40.95,✓ 0.0% boven bodem (40.95),85.66,36.21,316.0,✓ 316.00%
2026-06-23,048 Nasdaq/NYSE,BSY,4,28.42,28.3,✓ oververkocht (28.3),✗ neutraal (-4.779),105.2,✓ 105.2% opwaarts (ratio 11.3:1),28.42,✓ 0.0% boven bodem (28.42),58.33,25.78,97.0,✓ 97.00%
2026-06-23,048 Nasdaq/NYSE,MKTX,4,118.17,33.4,✓ oververkocht (33.4),✗ neutraal (-22.602),85.6,✓ 85.6% opwaarts (ratio 11.9:1),116.11,✓ 1.8% boven bodem (116.11),219.27,109.7,266.0,✓ 266.00%
2026-06-23,048 Nasdaq/NYSE,EFX,4,152.53,33.2,✓ oververkocht (33.2),✗ neutraal (-19.667),72.4,✓ 72.4% opwaarts (ratio 8.4:1),152.53,✓ 0.0% boven bodem (152.53),262.95,139.31,146.0,✓ 146.00%
2026-06-23,048 Nasdaq/NYSE,CMCSA,4,22.8,35.5,✓ oververkocht (35.5),✗ neutraal (-2.421),43.1,✓ 43.1% opwaarts (ratio 7.2:1),22.32,✓ 2.2% boven bodem (22.32),32.62,21.43,591.0,✓ 591.00%
2026-06-23,048 Nasdaq/NYSE,SPGI,4,400.16,38.7,✓ oververkocht (38.7),✗ neutraal (-6.601),39.8,✓ 39.8% opwaarts (ratio 6.9:1),388.95,✓ 2.9% boven bodem (388.95),559.46,376.92,95.0,✓ 95.00%
2026-06-23,048 Nasdaq/NYSE,TECH,4,56.26,45.1,✓ herstel (45.1 ↑),✓ bullish crossover,26.5,✓ 26.5% opwaarts (ratio 3.2:1),43.22,✗ 30.2% boven bodem (43.22),71.15,51.63,58.0,✓ 58.00%
2026-06-23,048 Nasdaq/NYSE,TTD,3,17.93,32.0,✓ oververkocht (32.0),✗ neutraal (-17.431),400.6,✓ 400.6% opwaarts (ratio 30.9:1),17.93,✓ 0.0% boven bodem (17.93),89.76,15.61,0.0,✗ geen dividend
2026-06-23,048 Nasdaq/NYSE,BSX,3,45.6,25.7,✓ oververkocht (25.7),✗ neutraal (-5.183),137.1,✓ 137.1% opwaarts (ratio 19.0:1),44.33,✓ 2.9% boven bodem (44.33),108.14,42.31,0.0,✗ geen dividend
2026-06-23,048 Nasdaq/NYSE,WDAY,3,115.13,30.5,✓ oververkocht (30.5),✗ neutraal (-29.752),115.1,✓ 115.1% opwaarts (ratio 9.3:1),112.5,✓ 2.3% boven bodem (112.50),247.69,100.81,0.0,✗ geen dividend
