datum,exchange,ticker,score,price,box_bottom,box_top,box_days,breakout,vol_ratio,new_high,trend_ok,total_score
2026-06-25,041 Benelux,AGN.AS,4,7.42,6.9659,7.1427,17,True,0.56,True,True,55
2026-06-25,041 Benelux,BAMNB.AS,4,12.7,12.34,12.54,5,True,0.9,True,True,55
2026-06-25,041 Benelux,AED.BR,3,70.55,67.95,69.65,6,True,1.05,False,True,40
2026-06-25,041 Benelux,AKZA.AS,3,61.32,56.5,58.12,15,True,0.51,False,True,40
2026-06-25,041 Benelux,HEIA.AS,3,73.22,69.94,71.22,7,True,0.72,False,True,40
2026-06-25,041 Benelux,PHIA.AS,3,23.93,22.28,23.13,13,True,0.79,False,True,40
2026-06-25,041 Benelux,WDP.BR,3,22.28,21.74,22.1,7,True,1.07,False,True,40
2026-06-25,041 Benelux,AALB.AS,3,39.64,39.04,41.18,4,False,1.33,True,True,35
2026-06-25,041 Benelux,ARGX.BR,3,781.8,748.6,787.0,10,False,1.01,True,True,35
2026-06-25,041 Benelux,BESI.AS,3,289.1,292.9,324.0,4,False,1.05,True,True,35
2026-06-25,041 Benelux,HEIJM.AS,3,116.0,114.4,117.1,4,False,0.83,True,True,35
