datum,exchange,ticker,vcp_score,rs,price,pivot,stop,pct_from_high,pct_from_low,total_score
2026-07-21,049 Stockholm,HOFI.ST,2,83.1,177.4,184.4,169.5,3.8,106.7,73.8
2026-07-21,049 Stockholm,BRAV.ST,2,72.9,136.0,137.2,125.12,0.9,80.1,71.2
