datum,exchange,ticker,score,price,n_contracties,laatste_pct,pivot,stop,breakout,breakout_vol,stage2,pct_krimpt,tijd_krimpt,vol_krimpt,total_score
2026-07-03,048 Nasdaq/NYSE,GE,6,377.52,2,9.25,319.14,276.4,True,0.57,True,True,False,True,105
2026-07-03,048 Nasdaq/NYSE,PKG,6,238.2,2,6.02,229.75,209.81,True,0.75,True,True,True,False,100
2026-07-03,048 Nasdaq/NYSE,CHD,4,98.6,5,6.44,96.5149,92.51,True,0.69,True,False,False,False,95
2026-07-03,048 Nasdaq/NYSE,DGX,4,215.72,5,7.07,204.1097,190.58,True,0.99,True,False,False,False,95
2026-07-03,048 Nasdaq/NYSE,KVUE,4,19.83,5,7.36,17.6474,16.48,True,0.55,True,False,False,False,95
2026-07-03,048 Nasdaq/NYSE,PPG,5,125.33,2,11.6,117.6033,98.35,True,1.05,True,False,True,True,95
2026-07-03,048 Nasdaq/NYSE,MRK,4,129.56,4,8.98,123.1147,109.87,True,0.74,True,False,False,False,90
2026-07-03,048 Nasdaq/NYSE,GRMN,6,240.02,2,4.67,241.7094,227.28,False,0.6,True,False,True,True,85
2026-07-03,048 Nasdaq/NYSE,ALGN,4,184.52,2,10.54,177.66,161.69,True,1.25,True,False,True,False,80
2026-07-03,048 Nasdaq/NYSE,FAST,4,48.6,2,6.57,45.64,44.12,True,0.99,True,False,False,False,80
2026-07-03,048 Nasdaq/NYSE,PHM,5,133.67,2,6.07,132.8582,112.7,True,0.65,False,True,True,False,80
2026-07-03,048 Nasdaq/NYSE,MHK,4,119.35,3,6.72,107.39,99.0,True,0.91,False,False,True,False,75
2026-07-03,048 Nasdaq/NYSE,TDY,4,652.08,4,5.63,663.95,595.92,False,0.94,True,False,False,False,70
2026-07-03,048 Nasdaq/NYSE,VRTX,4,528.04,2,6.72,447.82,419.22,True,1.24,False,False,True,False,70
2026-07-03,048 Nasdaq/NYSE,SYK,5,326.54,3,5.16,351.8607,293.16,False,0.92,False,True,True,False,65
2026-07-03,048 Nasdaq/NYSE,PYPL,4,45.47,3,6.91,51.6996,40.95,False,0.93,False,True,True,False,55
2026-07-03,048 Nasdaq/NYSE,NOC,4,549.01,2,6.36,705.4452,518.18,False,1.78,False,True,True,False,50
