datum,exchange,ticker,score,price,n_contracties,laatste_pct,pivot,stop,breakout,breakout_vol,stage2,pct_krimpt,tijd_krimpt,vol_krimpt,total_score
2026-06-30,044 Spanje/Port,AENA.MC,5,26.66,4,5.76,25.1078,23.3,True,1.89,True,False,False,False,100
2026-06-30,044 Spanje/Port,ENO.MC,6,39.75,2,7.89,40.894,35.52,False,0.76,True,True,True,False,80
2026-06-30,044 Spanje/Port,ROVI.MC,5,57.85,2,3.52,61.1,57.01,False,0.83,False,True,False,True,65
2026-06-30,044 Spanje/Port,VID.MC,4,83.9,5,5.24,87.3,73.36,False,0.58,False,False,True,False,65
2026-06-30,044 Spanje/Port,VIS.MC,4,58.4,3,3.72,58.9206,56.64,False,1.03,True,False,False,False,65
