datum,exchange,ticker,score,price,rsi_monthly,rsi_label,macd_label,rr_pct,rr_label,support,support_label,resistance,stop,div_yield,div_label
2026-07-21,048 Nasdaq/NYSE,PYPL,3,55.85,45.2,✓ herstel (45.2 up),✗ neutraal (-6.078),38.9,✓ 38.9% opwaarts (ratio 5.6:1),38.83,✗ 43.8% boven bodem (38.83),77.55,51.99,99.0,✓ 99.00%
2026-07-21,048 Nasdaq/NYSE,ABT,3,99.67,44.2,✓ herstel (44.2 up),✗ neutraal (-4.591),34.0,✓ 34.0% opwaarts (ratio 5.5:1),81.98,✗ 21.6% boven bodem (81.98),133.53,93.56,248.0,✓ 248.00%
2026-07-21,048 Nasdaq/NYSE,UNH,3,436.35,55.5,✓ momentum (55.5 up),✓ histogram up (15.274),0.0,✗ onvoldoende,231.57,✗ 88.4% boven bodem (231.57),436.35,410.76,220.0,✓ 220.00%
