datum,cash,pos_value,total,n_pos,daily_pnl
2026-06-24,50015.85,0.0,50015.85,0,15.63
2026-06-25,50015.85,0.0,50015.85,0,0.0
2026-06-26,50015.85,0.0,50015.85,0,0.0
2026-06-29,50015.85,0.0,50015.85,0,0.0
