datum,exchange,ticker,score,price,rsi_monthly,rsi_label,macd_label,rr_pct,rr_label,support,support_label,resistance,stop,div_yield,div_label
2026-06-24,043 Frankfurt,SAP.DE,4,134.86,34.7,✓ oververkocht (34.7),✗ neutraal (-9.408),93.8,✓ 93.8% opwaarts (ratio 10.7:1),132.22,✓ 2.0% boven bodem (132.22),261.36,123.08,186.0,✓ 186.00%
2026-06-24,043 Frankfurt,BMW.DE,4,60.9,36.6,✓ oververkocht (36.6),✗ neutraal (-2.165),51.2,✓ 51.2% opwaarts (ratio 7.2:1),59.74,✓ 1.9% boven bodem (59.74),92.11,56.6,721.0,✓ 721.00%
2026-06-24,043 Frankfurt,SHL.DE,4,34.23,32.4,✓ oververkocht (32.4),✗ neutraal (-3.498),41.3,✓ 41.3% opwaarts (ratio 9.3:1),33.4,✓ 2.5% boven bodem (33.40),48.37,32.71,290.0,✓ 290.00%
2026-06-24,043 Frankfurt,RHM.DE,3,949.0,44.0,✗ neutraal (44.0),✗ neutraal (172.166),107.5,✓ 107.5% opwaarts (ratio 7.6:1),949.0,✓ 0.0% boven bodem (949.00),1968.82,815.14,99.0,✓ 99.00%
2026-06-24,043 Frankfurt,EVD.DE,3,50.35,39.2,✓ oververkocht (39.2),✗ neutraal (-5.022),106.2,✓ 106.2% opwaarts (ratio 14.7:1),47.69,✗ 5.6% boven bodem (47.69),103.83,46.71,286.0,✓ 286.00%
2026-06-24,043 Frankfurt,MUM.DE,3,34.9,38.0,✓ oververkocht (38.0),✗ neutraal (-3.244),51.0,✓ 51.0% opwaarts (ratio 8.8:1),31.54,✗ 10.6% boven bodem (31.54),52.69,32.88,582.0,✓ 582.00%
2026-06-24,043 Frankfurt,BEI.DE,3,73.96,34.1,✓ oververkocht (34.1),✗ neutraal (-12.367),48.8,✓ 48.8% opwaarts (ratio 10.3:1),67.3,✗ 9.9% boven bodem (67.30),110.04,70.45,140.0,✓ 140.00%
2026-06-24,043 Frankfurt,QIA.DE,3,34.01,43.9,✓ herstel (43.9 ↑),✗ neutraal (-1.458),36.5,✓ 36.5% opwaarts (ratio 7.4:1),28.11,✗ 20.9% boven bodem (28.11),46.43,32.32,91.0,✓ 91.00%
2026-06-24,043 Frankfurt,DWNI.DE,3,18.28,41.5,✗ neutraal (41.5),✗ neutraal (-0.549),33.5,✓ 33.5% opwaarts (ratio 7.8:1),17.86,✓ 2.4% boven bodem (17.86),24.4,17.49,22.0,✓ 22.00%
2026-06-24,043 Frankfurt,FNTN.DE,3,24.0,48.1,✗ neutraal (48.1),✗ neutraal (0.631),29.5,✓ 29.5% opwaarts (ratio 7.1:1),23.89,✓ 0.5% boven bodem (23.89),31.09,23.01,851.0,✓ 851.00%
2026-06-24,043 Frankfurt,BOSS.DE,3,37.7,42.1,✓ herstel (42.1 ↑),✓ histogram ↑ (0.673),13.2,✗ 13.2% / ratio 3.2:1,34.15,✗ 10.4% boven bodem (34.15),42.67,36.16,11.0,✓ 11.00%
2026-06-24,043 Frankfurt,MRK.DE,3,140.1,56.8,✓ momentum (56.8 ↑),✓ histogram ↑ (2.852),0.0,✗ onvoldoende,100.78,✗ 39.0% boven bodem (100.78),140.1,134.22,163.0,✓ 163.00%
