datum,exchange,ticker,score,price,rsi_monthly,rsi_label,macd_label,rr_pct,rr_label,support,support_label,resistance,stop,div_yield,div_label
2026-06-24,045 Londen,APTD.L,4,206.0,33.3,✓ oververkocht (33.3),✗ neutraal (-26.638),63.1,✓ 63.1% opwaarts (ratio 6.1:1),206.0,✓ 0.0% boven bodem (206.00),335.92,184.58,261.0,✓ 261.00%
2026-06-24,045 Londen,REC.L,4,44.4,32.3,✓ oververkocht (32.3),✗ neutraal (-4.918),51.2,✓ 51.2% opwaarts (ratio 5.2:1),44.4,✓ 0.0% boven bodem (44.40),67.15,40.01,774.0,✓ 774.00%
2026-06-24,045 Londen,BCG.L,3,192.5,39.5,✓ oververkocht (39.5),✗ neutraal (-21.451),96.1,✓ 96.1% opwaarts (ratio 11.2:1),170.8,✗ 12.7% boven bodem (170.80),377.45,176.01,179.0,✓ 179.00%
2026-06-24,045 Londen,III.L,3,2273.0,37.4,✓ oververkocht (37.4),✗ neutraal (-121.035),96.1,✓ 96.1% opwaarts (ratio 12.9:1),2081.57,✗ 9.2% boven bodem (2081.57),4457.57,2103.58,371.0,✓ 371.00%
2026-06-24,045 Londen,RMV.L,3,426.3,33.5,✓ oververkocht (33.5),✗ neutraal (-45.932),93.2,✓ 93.2% opwaarts (ratio 15.2:1),404.0,✗ 5.5% boven bodem (404.00),823.63,400.19,252.0,✓ 252.00%
2026-06-24,045 Londen,CARD.L,3,63.9,38.6,✓ oververkocht (38.6),✗ neutraal (-8.117),73.0,✓ 73.0% opwaarts (ratio 9.0:1),60.07,✗ 6.4% boven bodem (60.07),110.53,58.73,805.0,✓ 805.00%
2026-06-24,045 Londen,AUTO.L,3,489.2,35.3,✓ oververkocht (35.3),✗ neutraal (-70.612),71.2,✓ 71.2% opwaarts (ratio 11.7:1),427.2,✗ 14.5% boven bodem (427.20),837.27,459.39,237.0,✓ 237.00%
2026-06-24,045 Londen,EXPN.L,3,2551.0,35.1,✓ oververkocht (35.1),✗ neutraal (-215.288),60.2,✓ 60.2% opwaarts (ratio 8.6:1),2375.0,✗ 7.4% boven bodem (2375.00),4087.81,2371.6,205.0,✓ 205.00%
2026-06-24,045 Londen,LSL.L,3,214.0,38.1,✓ oververkocht (38.1),✗ neutraal (-16.184),52.3,✓ 52.3% opwaarts (ratio 6.0:1),205.0,✗ 4.4% boven bodem (205.00),325.84,195.37,543.0,✓ 543.00%
2026-06-24,045 Londen,FORT.L,3,136.4,37.0,✓ oververkocht (37.0),✗ neutraal (-4.839),49.5,✓ 49.5% opwaarts (ratio 5.7:1),127.8,✗ 6.7% boven bodem (127.80),203.91,124.5,469.0,✓ 469.00%
