datum,exchange,ticker,score,price,box_bottom,box_top,box_days,breakout,vol_ratio,new_high,trend_ok,total_score
2026-06-30,042 Parijs,CS.PA,5,43.85,39.03,39.86,21,True,1.89,True,True,74.4
2026-06-30,042 Parijs,ELIS.PA,4,27.1,26.4265,26.783,8,True,1.17,True,True,55
2026-06-30,042 Parijs,SAF.PA,4,345.0,329.4,338.7,8,True,1.33,True,True,55
2026-06-30,042 Parijs,ARG.PA,3,60.4,59.1,60.3,10,True,1.97,False,False,49.8
2026-06-30,042 Parijs,COV.PA,3,53.6,52.8,54.45,9,True,1.76,False,False,48.8
2026-06-30,042 Parijs,FII.PA,3,65.7,65.4,67.5,4,False,2.23,False,True,41.1
2026-06-30,042 Parijs,AI.PA,3,173.28,164.16,168.36,9,True,1.05,False,True,40
2026-06-30,042 Parijs,BN.PA,3,71.74,65.06,66.58,11,True,1.19,False,True,40
2026-06-30,042 Parijs,ERF.PA,3,68.56,62.52,63.9,11,True,0.97,False,True,40
2026-06-30,042 Parijs,IPN.PA,3,168.8,154.5,158.6,16,True,0.96,False,True,40
2026-06-30,042 Parijs,AC.PA,3,50.84,50.14,52.0,4,False,0.93,True,True,35
