datum,exchange,ticker,score,price,rs,eps_q_growth,eps_cagr,inst_pct,pct_from_high,vol_ratio,stop,c_ok,a_ok,n_ok,s_ok,l_ok,i_ok,m_ok,total_score
2026-06-26,043 Frankfurt,NDX1.DE,6,44.06,95.0,576.9,0.0,38.7,11.9,1.46,40.54,True,False,True,True,True,True,True,136.7
2026-06-26,043 Frankfurt,BSL.DE,6,27.65,96.5,172.5,0.0,26.2,13.3,1.64,25.44,True,False,True,True,True,True,True,96.5
2026-06-26,043 Frankfurt,NDA.DE,5,184.6,93.4,193.9,95.6,46.2,15.8,0.76,169.83,True,True,False,False,True,True,True,88.1
2026-06-26,043 Frankfurt,JEN.DE,5,46.24,95.9,80.5,-0.3,54.2,2.6,1.17,42.54,True,False,True,False,True,True,True,87.2
2026-06-26,043 Frankfurt,REP.DE,5,21.07,81.8,153.8,-22.6,36.4,14.8,1.1,19.38,True,False,True,False,True,True,True,81.7
2026-06-26,043 Frankfurt,AIXA.DE,4,52.12,97.0,0.0,-23.4,65.3,13.7,1.04,47.95,False,False,True,False,True,True,True,59.4
2026-06-26,043 Frankfurt,IFX.DE,4,78.3,96.1,0.0,-43.1,59.4,11.0,1.03,72.04,False,False,True,False,True,True,True,59.2
2026-06-26,043 Frankfurt,ASML.AS,4,1578.2,94.9,17.1,10.7,46.7,5.8,0.87,1451.94,False,False,True,False,True,True,True,59.0
2026-06-26,043 Frankfurt,SMHN.DE,4,92.15,94.3,-85.2,0.0,77.0,17.5,1.73,84.78,False,False,False,True,True,True,True,58.9
2026-06-26,043 Frankfurt,MRK.DE,4,145.65,78.3,-10.3,-3.9,57.3,0.9,1.32,134.0,False,False,True,True,False,True,True,50
