datum,exchange,ticker,score,price,rs,eps_q_growth,eps_cagr,inst_pct,pct_from_high,vol_ratio,stop,c_ok,a_ok,n_ok,s_ok,l_ok,i_ok,m_ok,total_score
2026-06-30,046 Milaan,PRY.MI,7,146.05,95.4,64.0,54.9,58.2,6.9,1.51,134.37,True,True,True,True,True,True,True,95.5
2026-06-30,046 Milaan,ELN.MI,5,17.07,84.9,-4.8,-5.1,31.3,1.0,1.31,15.7,False,False,True,True,True,True,True,77.0
2026-06-30,046 Milaan,UNI.MI,5,24.41,83.5,9.7,16.0,20.5,1.1,1.43,22.46,False,False,True,True,True,True,True,76.7
2026-06-30,046 Milaan,SPM.MI,5,4.41,90.4,1.3,31.6,49.6,8.5,0.68,4.06,False,True,True,False,True,True,True,68.1
2026-06-30,046 Milaan,G.MI,4,42.61,80.3,0.0,5.5,36.0,0.6,1.15,39.2,False,False,True,False,True,True,True,66.1
2026-06-30,046 Milaan,DIS.MI,4,6.59,87.9,45.6,-32.2,9.1,27.8,0.85,6.06,True,False,False,False,True,True,True,62.1
2026-06-30,046 Milaan,DAN.MI,4,67.35,92.2,4.6,4.9,11.7,11.5,0.6,61.96,False,False,True,False,True,True,True,58.4
2026-06-30,046 Milaan,TEN.MI,4,24.21,76.5,6.7,-29.8,14.3,12.6,1.44,22.27,False,False,True,True,False,True,True,40
