datum,exchange,ticker,score,price,n_contracties,laatste_pct,pivot,stop,breakout,breakout_vol,stage2,pct_krimpt,tijd_krimpt,vol_krimpt,total_score
2026-07-03,046 Milaan,IRE.MI,4,2.57,5,8.25,2.7047,2.39,False,0.82,True,False,False,False,75
2026-07-03,046 Milaan,BZU.MI,4,45.87,4,8.44,49.1597,42.39,False,0.59,False,False,True,False,60
2026-07-03,046 Milaan,PRY.MI,4,146.3,2,14.46,154.2,131.52,False,0.48,True,False,True,False,60
2026-07-03,046 Milaan,GE.MI,4,11.15,3,7.02,11.4,10.45,False,0.45,False,False,True,False,55
