datum,exchange,ticker,score,price,n_contracties,laatste_pct,pivot,stop,breakout,breakout_vol,stage2,pct_krimpt,tijd_krimpt,vol_krimpt,total_score
2026-06-25,042 Parijs,OR.PA,4,387.95,4,6.38,362.6751,365.04,True,0.71,True,False,False,False,90
2026-06-25,042 Parijs,MC.PA,4,494.4,5,6.54,473.8238,453.07,True,0.76,False,False,True,False,85
2026-06-25,042 Parijs,DG.PA,4,131.35,5,4.26,134.2581,120.2,False,1.18,True,False,False,False,75
2026-06-25,042 Parijs,HO.PA,5,218.4,2,7.61,239.0421,219.97,False,1.05,False,True,True,False,60
2026-06-25,042 Parijs,SAF.PA,4,343.7,4,7.66,344.0344,282.45,False,1.0,False,False,True,False,60
2026-06-25,042 Parijs,AM.PA,4,289.2,3,6.03,335.2647,282.51,False,0.78,False,True,True,False,55
