datum,exchange,ticker,score,price,n_contracties,laatste_pct,pivot,stop,breakout,breakout_vol,stage2,pct_krimpt,tijd_krimpt,vol_krimpt,total_score
2026-07-03,045 Londen,COST.L,7,217.0,2,7.01,206.0,181.46,True,3.84,True,True,False,True,115
2026-07-03,045 Londen,CCH.L,6,5170.0,3,4.21,4586.7088,4130.2,True,0.48,True,True,True,False,105
2026-07-03,045 Londen,CLIG.L,5,458.0,5,4.27,440.0,416.9,True,2.24,True,False,False,False,105
2026-07-03,045 Londen,CNE.L,5,346.0,3,7.8,318.0,300.04,True,2.97,True,False,False,False,95
2026-07-03,045 Londen,HMSO.L,4,373.6,5,7.9,341.356,316.94,True,0.57,True,False,False,False,95
2026-07-03,045 Londen,JFJ.L,4,822.0,5,8.06,761.0,738.11,True,0.14,True,False,False,False,95
2026-07-03,045 Londen,JUP.L,6,174.6,2,8.09,172.5146,151.42,True,0.36,False,True,True,True,95
2026-07-03,045 Londen,DPLM.L,4,7200.0,3,3.92,7099.8051,6911.8,True,0.27,True,False,False,False,85
2026-07-03,045 Londen,AUTO.L,6,503.4,2,5.92,518.2,443.81,False,0.2,False,True,True,True,75
2026-07-03,045 Londen,BLND.L,4,417.2,5,8.52,424.0888,358.62,False,0.21,True,False,False,False,75
2026-07-03,045 Londen,ITV.L,4,81.75,5,6.23,81.8161,77.95,False,0.57,True,False,False,False,75
2026-07-03,045 Londen,MONY.L,4,189.8,3,4.86,173.8963,175.56,True,0.43,False,True,False,False,75
2026-07-03,045 Londen,AVON.L,4,1784.0,5,9.48,1936.0,1567.65,False,0.34,False,False,True,False,65
2026-07-03,045 Londen,MCB.L,4,163.4,3,15.71,168.0,138.39,False,0.34,True,False,True,False,65
2026-07-03,045 Londen,ROR.L,5,304.2,2,5.6,341.7451,296.57,False,0.52,False,True,True,True,65
2026-07-03,045 Londen,SMIN.L,4,2634.0,3,5.24,2656.0,2371.31,False,0.91,True,False,False,False,65
2026-07-03,045 Londen,FAN.L,4,615.0,4,9.15,658.0,563.65,False,0.38,False,False,True,False,60
2026-07-03,045 Londen,AEP.L,4,155.0,2,19.43,170.9652,136.0,False,0.14,False,False,True,True,55
2026-07-03,045 Londen,GSK.L,4,2015.0,3,5.22,2201.8015,1880.15,False,0.31,False,True,False,False,55
2026-07-03,045 Londen,TRN.L,4,218.0,2,10.07,247.6,207.07,False,0.48,False,True,True,True,55
2026-07-03,045 Londen,WEIR.L,4,2508.0,3,6.62,3185.7454,2309.26,False,0.43,False,True,True,False,55
2026-07-03,045 Londen,COST.L,7,217.0,2,7.01,206.0,181.46,True,3.84,True,True,False,True,115
2026-07-03,045 Londen,CCH.L,6,5170.0,3,4.21,4586.7088,4130.2,True,0.48,True,True,True,False,105
2026-07-03,045 Londen,CLIG.L,5,458.0,5,4.27,440.0,416.9,True,2.24,True,False,False,False,105
2026-07-03,045 Londen,CNE.L,5,346.0,3,7.8,318.0,300.04,True,2.97,True,False,False,False,95
2026-07-03,045 Londen,HMSO.L,4,373.6,5,7.9,341.356,316.94,True,0.57,True,False,False,False,95
2026-07-03,045 Londen,JFJ.L,4,822.0,5,8.06,761.0,738.11,True,0.14,True,False,False,False,95
2026-07-03,045 Londen,JUP.L,6,174.6,2,8.09,172.5146,151.42,True,0.36,False,True,True,True,95
2026-07-03,045 Londen,DPLM.L,4,7200.0,3,3.92,7099.8051,6911.8,True,0.27,True,False,False,False,85
2026-07-03,045 Londen,AUTO.L,6,503.4,2,5.92,518.2,443.81,False,0.2,False,True,True,True,75
2026-07-03,045 Londen,BLND.L,4,417.2,5,8.52,424.0888,358.62,False,0.21,True,False,False,False,75
2026-07-03,045 Londen,ITV.L,4,81.75,5,6.23,81.8161,77.95,False,0.57,True,False,False,False,75
2026-07-03,045 Londen,MONY.L,4,189.8,3,4.86,173.8963,175.56,True,0.43,False,True,False,False,75
2026-07-03,045 Londen,AVON.L,4,1784.0,5,9.48,1936.0,1567.65,False,0.34,False,False,True,False,65
2026-07-03,045 Londen,MCB.L,4,163.4,3,15.71,168.0,138.39,False,0.34,True,False,True,False,65
2026-07-03,045 Londen,ROR.L,5,304.2,2,5.6,341.7451,296.57,False,0.52,False,True,True,True,65
2026-07-03,045 Londen,SMIN.L,4,2634.0,3,5.24,2656.0,2371.31,False,0.91,True,False,False,False,65
2026-07-03,045 Londen,FAN.L,4,615.0,4,9.15,658.0,563.65,False,0.38,False,False,True,False,60
2026-07-03,045 Londen,AEP.L,4,155.0,2,19.43,170.9652,136.0,False,0.14,False,False,True,True,55
2026-07-03,045 Londen,GSK.L,4,2015.0,3,5.22,2201.8015,1880.15,False,0.31,False,True,False,False,55
2026-07-03,045 Londen,TRN.L,4,218.0,2,10.07,247.6,207.07,False,0.48,False,True,True,True,55
2026-07-03,045 Londen,WEIR.L,4,2508.0,3,6.62,3185.7454,2309.26,False,0.43,False,True,True,False,55
