datum,ticker,systeem,side,price,size,cost,pnl,tax,net,reason
2026-06-24,AZN.L,ORB,BUY,13751.738,1,63.3520417905,0,0,0,ORB breakout
2026-06-24,AZN.L,MR,SELL,13896.09,1,63.636315,17.36364320950088,1.7363643209500879,15.62727888855079,IBS=0.92 > 0.7
