datum,exchange,ticker,score,price,box_bottom,box_top,box_days,breakout,vol_ratio,new_high,trend_ok,total_score
2026-06-26,045 Londen,PRV.L,4,850.0,784.0,836.0,10,True,4.7,False,True,73.5
2026-06-26,045 Londen,PFD.L,4,206.8,197.1678,205.1665,8,True,4.23,False,True,71.1
2026-06-26,045 Londen,GSK.L,4,1983.0,1923.0,1978.5,7,True,1.8,False,True,59.0
2026-06-26,045 Londen,APN.L,4,309.5,209.0,215.0,33,True,0.36,True,True,55
2026-06-26,045 Londen,CCH.L,4,4890.0,4542.0,4608.0,8,True,0.97,True,True,55
2026-06-26,045 Londen,COST.L,4,210.0,189.0,195.0,15,True,0.96,True,True,55
2026-06-26,045 Londen,GAW.L,4,21940.0,18600.0,19390.0,16,True,0.73,True,True,55
2026-06-26,045 Londen,HMSO.L,4,373.6,343.0,352.0,9,True,0.66,True,True,55
2026-06-26,045 Londen,HSX.L,4,1857.0,1717.0,1762.0,17,True,0.7,True,True,55
2026-06-26,045 Londen,NXT.L,4,14615.0,14140.0,14590.0,10,True,0.56,True,True,55
2026-06-26,045 Londen,PSON.L,4,1176.0,1128.0,1147.557,8,True,0.58,True,True,55
2026-06-26,045 Londen,MONY.L,3,184.5,181.0,185.7,5,False,2.06,False,True,40.3
2026-06-26,045 Londen,FRAS.L,3,729.5,710.5,730.5,6,True,0.7,False,True,40
2026-06-26,045 Londen,GPE.L,3,333.2,314.6,330.0,8,True,0.61,False,True,40
2026-06-26,045 Londen,HIK.L,3,1531.0,1451.0,1487.0,9,True,0.29,False,True,40
2026-06-26,045 Londen,HWDN.L,3,860.0,799.0,822.5,7,True,0.52,False,True,40
2026-06-26,045 Londen,LIO.L,3,337.0,294.0,309.5,7,True,1.18,False,True,40
2026-06-26,045 Londen,NG.L,3,1245.5,1190.5,1224.0,9,True,0.88,False,True,40
2026-06-26,045 Londen,SCT.L,3,1813.0,1760.0,1791.0,6,True,0.55,False,True,40
2026-06-26,045 Londen,SHC.L,3,140.7,134.0,139.1,7,True,0.59,False,True,40
2026-06-26,045 Londen,SMIN.L,3,2568.0,2469.0,2541.0,16,True,0.62,False,True,40
2026-06-26,045 Londen,SSE.L,3,2421.0,2312.0,2398.0,9,True,0.87,False,True,40
2026-06-26,045 Londen,AZN.L,3,14318.0,13910.0,15126.0,6,False,1.69,False,True,38.4
2026-06-26,045 Londen,ITV.L,3,81.75,79.65,82.15,6,False,1.67,False,True,38.3
2026-06-26,045 Londen,WOSG.L,3,707.5,704.0,734.0,5,False,1.63,False,True,38.2
2026-06-26,045 Londen,AAIF.L,3,333.0,333.0,351.498,4,False,0.82,True,True,35
2026-06-26,045 Londen,CMCX.L,3,447.5,447.5,470.0,9,False,0.66,True,True,35
2026-06-26,045 Londen,DPLM.L,3,7095.0,7040.0,7270.0,5,False,0.4,True,True,35
2026-06-26,045 Londen,EMG.L,3,286.2,286.2,300.6,5,False,0.67,True,True,35
2026-06-26,045 Londen,EZJ.L,3,583.0,574.2,621.0,4,False,0.74,True,True,35
2026-06-26,045 Londen,HILS.L,3,2760.0,2760.0,2840.0,4,False,0.65,True,True,35
2026-06-26,045 Londen,ITRK.L,3,5810.0,5790.0,5815.0,5,False,0.33,True,True,35
2026-06-26,045 Londen,SDR.L,3,585.5,585.0,586.529,4,False,0.31,True,True,35
2026-06-26,045 Londen,TET.L,3,304.0,301.0,305.5,20,False,0.2,True,True,35
