datum,exchange,ticker,score,price,rs,eps_q_growth,eps_cagr,inst_pct,pct_from_high,vol_ratio,stop,c_ok,a_ok,n_ok,s_ok,l_ok,i_ok,m_ok,total_score
2026-06-25,047 Toronto,CLS.TO,5,512.22,95.0,146.3,84.6,72.1,21.5,0.89,471.24,True,True,False,False,True,True,True,83.6
2026-06-25,047 Toronto,ATZ.TO,6,156.71,94.3,34.8,120.2,43.5,9.5,1.03,144.17,True,True,True,False,True,True,True,82.3
2026-06-25,047 Toronto,ABX.TO,4,52.09,85.0,238.0,98.1,67.3,26.6,1.01,47.92,True,True,False,False,True,True,False,80.8
2026-06-25,047 Toronto,HBM.TO,5,33.37,94.7,89.6,192.6,79.5,24.3,0.86,30.7,True,True,False,False,True,True,True,77.9
2026-06-25,047 Toronto,TIH.TO,5,229.05,88.9,24.5,-3.6,44.2,4.9,1.34,210.73,False,False,True,True,True,True,True,77.8
2026-06-25,047 Toronto,LUN.TO,4,33.55,93.3,126.4,130.5,50.8,24.3,0.8,30.87,True,False,False,False,True,True,True,71.3
2026-06-25,047 Toronto,OGC.TO,4,35.17,80.7,129.1,175.1,54.6,39.3,0.8,32.36,True,True,False,False,True,True,False,69.0
2026-06-25,047 Toronto,CVE.TO,4,34.96,85.7,82.8,-2.2,55.3,19.6,0.71,32.16,True,False,False,False,True,True,True,65.4
2026-06-25,047 Toronto,TFII.TO,4,206.8,88.8,-22.7,-21.6,80.5,9.2,0.91,190.26,False,False,True,False,True,True,True,57.8
2026-06-25,047 Toronto,IGM.TO,4,77.25,87.7,21.4,-2.1,9.2,7.4,0.74,71.07,False,False,True,False,True,True,True,57.5
2026-06-25,047 Toronto,FTT.TO,4,96.44,84.1,16.3,12.2,47.4,10.8,0.97,88.72,False,False,True,False,True,True,True,56.8
2026-06-25,047 Toronto,WCP.TO,4,15.12,82.8,-86.3,5.2,28.3,11.9,0.67,13.91,False,False,True,False,True,True,True,56.6
