datum,exchange,ticker,score,price,n_contracties,laatste_pct,pivot,stop,breakout,breakout_vol,stage2,pct_krimpt,tijd_krimpt,vol_krimpt,total_score
2026-07-02,044 Spanje/Port,AENA.MC,4,27.14,4,5.76,25.1078,23.3,True,0.63,True,False,False,False,90
2026-07-02,044 Spanje/Port,ENO.MC,6,39.0,2,7.89,40.894,35.51,False,0.57,True,True,True,False,80
2026-07-02,044 Spanje/Port,ROVI.MC,5,57.4,2,3.52,61.1,57.04,False,0.69,False,True,False,True,65
2026-07-02,044 Spanje/Port,VID.MC,4,86.0,5,5.24,87.3,73.34,False,1.01,False,False,True,False,65
2026-07-02,044 Spanje/Port,VIS.MC,4,58.9,3,3.72,58.9206,56.64,False,0.86,True,False,False,False,65
2026-07-02,044 Spanje/Port,COR.LS,4,6.55,2,6.95,6.76,6.23,False,0.69,False,False,False,True,55
2026-07-02,044 Spanje/Port,FAE.MC,4,4.65,3,7.93,4.8994,4.28,False,1.65,False,False,True,False,55
