datum,exchange,ticker,score,price,rsi_monthly,rsi_label,macd_label,rr_pct,rr_label,support,support_label,resistance,stop,div_yield,div_label
2026-06-22,045 Londen,APTD.L,4,207.0,33.4,✓ oververkocht (33.4),✗ neutraal (-26.558),63.2,✓ 63.2% opwaarts (ratio 5.5:1),207.0,✓ 0.0% boven bodem (207.00),337.92,183.12,261.0,✓ 261.00%
2026-06-22,045 Londen,LSL.L,4,208.0,37.1,✓ oververkocht (37.1),✗ neutraal (-16.663),56.7,✓ 56.7% opwaarts (ratio 6.3:1),205.0,✓ 1.5% boven bodem (205.00),325.84,189.27,543.0,✓ 543.00%
2026-06-22,045 Londen,REC.L,4,47.3,34.1,✓ oververkocht (34.1),✗ neutraal (-4.687),42.0,✓ 42.0% opwaarts (ratio 4.5:1),47.0,✓ 0.6% boven bodem (47.00),67.15,42.92,766.0,✓ 766.00%
2026-06-22,045 Londen,LIO.L,4,299.0,39.0,✓ oververkocht (39.0),✓ histogram ↑ (6.737),38.1,✓ 38.1% opwaarts (ratio 4.6:1),231.5,✗ 29.2% boven bodem (231.50),412.88,274.28,1891.0,✓ 1891.00%
2026-06-22,045 Londen,BCG.L,3,190.4,39.0,✓ oververkocht (39.0),✗ neutraal (-21.618),98.2,✓ 98.2% opwaarts (ratio 11.3:1),170.8,✗ 11.5% boven bodem (170.80),377.45,173.78,177.0,✓ 177.00%
2026-06-22,045 Londen,III.L,3,2259.0,37.2,✓ oververkocht (37.2),✗ neutraal (-122.151),97.3,✓ 97.3% opwaarts (ratio 12.7:1),2081.57,✗ 8.5% boven bodem (2081.57),4457.57,2085.71,384.0,✓ 384.00%
2026-06-22,045 Londen,RMV.L,3,423.2,33.0,✓ oververkocht (33.0),✗ neutraal (-46.180),94.6,✓ 94.6% opwaarts (ratio 15.2:1),404.0,✗ 4.8% boven bodem (404.00),823.63,396.81,255.0,✓ 255.00%
2026-06-22,045 Londen,CARD.L,3,63.3,38.3,✓ oververkocht (38.3),✗ neutraal (-8.165),74.6,✓ 74.6% opwaarts (ratio 8.9:1),60.07,✗ 5.4% boven bodem (60.07),110.53,57.98,786.0,✓ 786.00%
2026-06-22,045 Londen,AUTO.L,3,483.4,34.6,✓ oververkocht (34.6),✗ neutraal (-71.075),73.2,✓ 73.2% opwaarts (ratio 11.7:1),427.2,✗ 13.2% boven bodem (427.20),837.27,453.26,243.0,✓ 243.00%
2026-06-22,045 Londen,EXPN.L,3,2498.0,34.3,✓ oververkocht (34.3),✗ neutraal (-219.516),63.6,✓ 63.6% opwaarts (ratio 9.0:1),2375.0,✗ 5.2% boven bodem (2375.00),4087.81,2321.44,203.0,✓ 203.00%
