datum,exchange,ticker,score,price,rsi_monthly,rsi_label,macd_label,rr_pct,rr_label,support,support_label,resistance,stop,div_yield,div_label
2026-06-19,042 Parijs,BIM.PA,4,69.0,29.6,✓ oververkocht (29.6),✗ neutraal (-6.135),83.4,✓ 83.4% opwaarts (ratio 17.1:1),67.33,✓ 2.5% boven bodem (67.33),126.56,65.63,144.0,✓ 144.00%
2026-06-19,042 Parijs,CAP.PA,4,89.52,32.2,✓ oververkocht (32.2),✗ neutraal (-16.675),64.3,✓ 64.3% opwaarts (ratio 7.0:1),89.0,✓ 0.6% boven bodem (89.00),147.12,81.29,348.0,✓ 348.00%
2026-06-19,042 Parijs,RI.PA,4,64.14,25.7,✓ oververkocht (25.7),✓ histogram ↑ (0.347),55.9,✓ 55.9% opwaarts (ratio 11.0:1),59.94,✗ 7.0% boven bodem (59.94),100.02,60.87,741.0,✓ 741.00%
2026-06-19,042 Parijs,TEP.PA,4,55.12,37.9,✓ oververkocht (37.9),✓ histogram ↑ (0.643),52.1,✓ 52.1% opwaarts (ratio 6.0:1),42.91,✗ 28.4% boven bodem (42.91),83.84,50.31,810.0,✓ 810.00%
2026-06-19,042 Parijs,ITP.PA,4,25.54,37.6,✓ oververkocht (37.6),✓ bullish crossover,31.1,✓ 31.1% opwaarts (ratio 5.0:1),21.33,✗ 19.7% boven bodem (21.33),33.5,23.95,397.0,✓ 397.00%
2026-06-19,042 Parijs,MC.PA,4,499.25,41.9,✓ herstel (41.9 ↑),✓ bullish crossover,28.5,✓ 28.5% opwaarts (ratio 4.4:1),426.85,✗ 17.0% boven bodem (426.85),641.64,466.62,250.0,✓ 250.00%
2026-06-19,042 Parijs,DSY.PA,3,17.23,28.1,✓ oververkocht (28.1),✗ neutraal (-4.853),85.0,✓ 85.0% opwaarts (ratio 10.8:1),15.75,✗ 9.4% boven bodem (15.75),31.87,15.87,155.0,✓ 155.00%
2026-06-19,042 Parijs,WAVE.PA,3,39.75,41.1,✗ neutraal (41.1),✗ neutraal (-1.373),55.5,✓ 55.5% opwaarts (ratio 6.6:1),39.75,✓ 0.0% boven bodem (39.75),61.8,36.42,110.0,✓ 110.00%
2026-06-19,042 Parijs,RMS.PA,3,1721.5,39.6,✓ oververkocht (39.6),✗ neutraal (-107.486),42.3,✓ 42.3% opwaarts (ratio 6.2:1),1564.0,✗ 10.1% boven bodem (1564.00),2449.32,1603.5,103.0,✓ 103.00%
2026-06-19,042 Parijs,CDI.PA,3,463.2,41.1,✓ herstel (41.1 ↑),✓ histogram ↑ (1.217),28.7,✓ 28.7% opwaarts (ratio 4.7:1),404.9,✗ 14.4% boven bodem (404.90),596.16,434.66,0.0,✗ geen dividend
2026-06-19,042 Parijs,SGO.PA,3,78.26,51.3,✓ herstel (51.3 ↑),✗ neutraal (1.464),27.3,✓ 27.3% opwaarts (ratio 4.7:1),66.05,✗ 18.5% boven bodem (66.05),99.64,73.76,293.0,✓ 293.00%
