datum,exchange,ticker,score,price,rs,eps_q_growth,eps_cagr,inst_pct,pct_from_high,vol_ratio,stop,c_ok,a_ok,n_ok,s_ok,l_ok,i_ok,m_ok,total_score
2026-06-25,048 Nasdaq/NYSE,CIEN,4,484.69,98.5,2333.0,-30.4,97.9,22.7,0.83,445.91,True,False,False,False,True,True,True,293.0
2026-06-25,048 Nasdaq/NYSE,GEV,5,1085.47,92.7,1768.1,0.0,79.6,5.5,0.81,998.63,True,False,True,False,True,True,True,245.4
2026-06-25,048 Nasdaq/NYSE,COHR,5,407.25,98.1,1118.3,0.0,89.5,4.6,1.01,374.67,True,False,True,False,True,True,True,191.4
2026-06-25,048 Nasdaq/NYSE,MU,5,1213.56,98.8,770.8,0.0,81.6,0.0,1.05,1116.48,True,False,True,False,True,True,True,156.8
2026-06-25,048 Nasdaq/NYSE,TER,6,471.96,98.3,303.4,11.1,96.5,0.0,1.32,434.2,True,False,True,True,True,True,True,120.0
2026-06-25,048 Nasdaq/NYSE,GLW,6,228.01,97.9,136.3,65.7,73.7,0.0,1.3,209.77,True,False,True,True,True,True,True,103.2
2026-06-25,048 Nasdaq/NYSE,AMD,6,532.57,97.6,95.1,125.3,72.2,3.5,1.09,489.96,True,True,True,False,True,True,True,99.0
2026-06-25,048 Nasdaq/NYSE,FIX,6,2017.57,97.2,38.2,77.8,96.5,2.4,0.92,1856.16,True,True,True,False,True,True,True,93.3
2026-06-25,048 Nasdaq/NYSE,WST,6,346.56,84.4,54.6,-8.8,103.9,0.0,1.55,318.84,True,False,True,True,True,True,True,92.3
2026-06-25,048 Nasdaq/NYSE,APH,6,165.15,86.4,26.5,48.8,97.9,0.3,0.84,151.94,True,True,True,False,True,True,True,89.9
2026-06-25,048 Nasdaq/NYSE,EME,7,862.66,84.8,26.9,41.8,97.0,8.6,1.27,793.65,True,True,True,True,True,True,True,89.7
2026-06-25,048 Nasdaq/NYSE,FTNT,6,149.93,87.9,23.3,27.1,72.5,0.0,1.25,137.94,False,True,True,True,True,True,True,87.6
2026-06-25,048 Nasdaq/NYSE,HST,5,24.98,86.1,99.2,1.7,105.7,0.6,0.9,22.98,True,False,True,False,True,True,True,87.1
2026-06-25,048 Nasdaq/NYSE,GOOGL,6,343.71,91.1,81.2,33.8,80.8,14.6,0.78,316.21,True,True,True,False,True,True,True,86.3
2026-06-25,048 Nasdaq/NYSE,GOOG,6,342.19,90.6,81.2,33.8,61.1,14.2,0.81,314.81,True,True,True,False,True,True,True,86.2
2026-06-25,048 Nasdaq/NYSE,GNRC,5,295.16,93.1,67.1,-11.4,93.7,0.1,1.0,271.55,True,False,True,False,True,True,True,85.3
2026-06-25,048 Nasdaq/NYSE,LRCX,5,401.82,97.7,37.2,9.0,88.1,1.9,0.99,369.67,True,False,True,False,True,True,True,83.3
2026-06-25,048 Nasdaq/NYSE,AMAT,5,668.0,97.4,31.3,1.0,85.1,0.0,1.03,614.56,True,False,True,False,True,True,True,82.6
2026-06-25,048 Nasdaq/NYSE,QCOM,5,204.9,80.9,162.1,-12.5,84.9,18.1,1.39,188.51,True,False,False,True,True,True,True,82.4
2026-06-25,048 Nasdaq/NYSE,KEYS,5,360.06,92.9,35.8,-10.3,92.8,3.6,1.1,331.26,True,False,True,False,True,True,True,82.2
2026-06-25,048 Nasdaq/NYSE,CSCO,6,118.97,89.7,35.4,-10.2,82.9,8.5,1.69,109.45,True,False,True,True,True,True,True,81.5
2026-06-25,048 Nasdaq/NYSE,ROK,5,479.39,81.8,38.9,-20.8,91.0,0.0,1.11,441.04,True,False,True,False,True,True,True,80.2
2026-06-25,048 Nasdaq/NYSE,MNST,5,95.83,83.0,28.6,8.1,70.9,0.0,0.74,88.16,True,False,True,False,True,True,True,79.5
2026-06-25,048 Nasdaq/NYSE,NXPI,5,298.64,82.5,129.0,-15.0,100.7,9.9,0.94,274.75,True,False,True,False,True,True,True,79.4
2026-06-25,048 Nasdaq/NYSE,ADI,5,417.93,88.4,106.5,-17.3,93.5,6.2,1.14,384.5,True,False,True,False,True,True,True,78.3
2026-06-25,048 Nasdaq/NYSE,PANW,5,293.09,88.0,0.0,60.6,83.3,2.5,1.21,269.64,False,False,True,True,True,True,True,77.6
2026-06-25,048 Nasdaq/NYSE,STLD,5,251.0,92.4,85.8,-30.4,87.0,11.2,0.65,230.92,True,False,True,False,True,True,True,77.1
2026-06-25,048 Nasdaq/NYSE,LLY,5,1127.69,76.7,168.1,98.5,85.4,2.9,0.98,1037.47,True,True,True,False,False,True,True,76.8
2026-06-25,048 Nasdaq/NYSE,FSLR,5,248.64,85.2,65.4,35.6,94.5,21.9,1.2,228.75,True,True,False,False,True,True,True,73.6
2026-06-25,048 Nasdaq/NYSE,PWR,5,718.59,90.2,52.9,17.5,95.1,8.5,0.88,661.1,True,False,True,False,True,True,True,73.3
2026-06-25,048 Nasdaq/NYSE,MPWR,5,1438.3,92.2,43.1,20.6,101.1,14.9,1.08,1323.24,True,False,True,False,True,True,True,72.8
2026-06-25,048 Nasdaq/NYSE,TECH,5,70.7,76.4,126.0,-49.3,117.8,0.6,5.83,65.04,True,False,True,True,False,True,True,72.6
2026-06-25,048 Nasdaq/NYSE,TXN,5,311.81,86.8,31.0,-12.4,92.6,6.2,1.18,286.87,True,False,True,False,True,True,True,70.5
2026-06-25,048 Nasdaq/NYSE,ROST,5,215.13,80.1,35.6,7.0,94.7,10.4,1.0,197.92,True,False,True,False,True,True,True,69.6
2026-06-25,048 Nasdaq/NYSE,KLAC,4,258.8,96.8,10.3,9.5,93.8,3.8,0.98,238.1,False,False,True,False,True,True,True,69.4
2026-06-25,048 Nasdaq/NYSE,CMI,4,727.59,94.0,-20.6,96.7,87.9,0.0,0.94,669.38,False,False,True,False,True,True,True,68.8
2026-06-25,048 Nasdaq/NYSE,DAL,4,92.11,91.5,0.0,4.2,83.8,0.0,0.98,84.74,False,False,True,False,True,True,True,68.3
2026-06-25,048 Nasdaq/NYSE,VLO,4,255.06,86.6,0.0,-48.4,87.9,2.4,0.67,234.66,False,False,True,False,True,True,True,67.3
2026-06-25,048 Nasdaq/NYSE,HWM,5,273.14,79.4,68.6,40.4,94.5,3.6,0.72,251.29,True,True,True,False,False,True,True,66.9
2026-06-25,048 Nasdaq/NYSE,GE,4,371.36,80.0,-3.7,-4.2,81.0,0.0,1.09,341.65,False,False,True,False,True,True,True,66.0
2026-06-25,048 Nasdaq/NYSE,ON,4,118.74,95.8,0.0,-76.5,109.0,11.3,1.01,109.24,False,False,True,False,True,True,True,59.2
2026-06-25,048 Nasdaq/NYSE,AIZ,4,260.77,70.4,87.0,16.5,97.6,1.7,0.78,239.91,True,False,True,False,False,True,True,58.7
2026-06-25,048 Nasdaq/NYSE,JBHT,4,274.68,90.9,20.2,-9.4,78.5,5.1,1.12,252.71,False,False,True,False,True,True,True,58.2
