datum,exchange,ticker,score,price,rev_growth,rev_rank,rs,rs_rank,high52w,pct_from_high,breakout,breakout_vol,ma50,above_ma50,stop,total_score
2026-07-27,041 Benelux,THEON.AS,3,34.8,61.1,97.3,48.6,49.1,36.26,4.0,False,1.55,31.99,True,31.32,41.1
2026-07-27,041 Benelux,ARGX.BR,3,789.8,89.6,98.5,54.6,55.1,830.8,4.9,False,1.03,759.97,True,710.82,39.0
