datum,exchange,ticker,score,price,rsi_monthly,rsi_label,macd_label,rr_pct,rr_label,support,support_label,resistance,stop,div_yield,div_label
2026-06-24,048 Nasdaq/NYSE,INTU,4,262.23,28.6,✓ oververkocht (28.6),✗ neutraal (-61.281),205.8,✓ 205.8% opwaarts (ratio 16.7:1),257.77,✓ 1.7% boven bodem (257.77),801.96,229.85,186.0,✓ 186.00%
2026-06-24,048 Nasdaq/NYSE,CTSH,4,41.44,32.8,✓ oververkocht (32.8),✗ neutraal (-4.159),106.7,✓ 106.7% opwaarts (ratio 9.5:1),40.95,✓ 1.2% boven bodem (40.95),85.66,36.78,322.0,✓ 322.00%
2026-06-24,048 Nasdaq/NYSE,BSY,4,28.66,28.5,✓ oververkocht (28.5),✗ neutraal (-4.760),103.5,✓ 103.5% opwaarts (ratio 11.6:1),28.42,✓ 0.8% boven bodem (28.42),58.33,26.09,99.0,✓ 99.00%
2026-06-24,048 Nasdaq/NYSE,MKTX,4,113.46,32.8,✓ oververkocht (32.8),✗ neutraal (-22.978),93.3,✓ 93.3% opwaarts (ratio 12.1:1),113.46,✓ 0.0% boven bodem (113.46),219.27,104.69,264.0,✓ 264.00%
2026-06-24,048 Nasdaq/NYSE,CMCSA,4,22.64,35.3,✓ oververkocht (35.3),✗ neutraal (-2.434),44.1,✓ 44.1% opwaarts (ratio 7.3:1),22.32,✓ 1.4% boven bodem (22.32),32.62,21.28,579.0,✓ 579.00%
2026-06-24,048 Nasdaq/NYSE,TTD,3,17.7,31.9,✓ oververkocht (31.9),✗ neutraal (-17.449),407.1,✓ 407.1% opwaarts (ratio 31.8:1),17.7,✓ 0.0% boven bodem (17.70),89.76,15.44,0.0,✗ geen dividend
2026-06-24,048 Nasdaq/NYSE,BSX,3,44.46,25.3,✓ oververkocht (25.3),✗ neutraal (-5.274),143.2,✓ 143.2% opwaarts (ratio 19.3:1),44.33,✓ 0.3% boven bodem (44.33),108.14,41.16,0.0,✗ geen dividend
2026-06-24,048 Nasdaq/NYSE,ACN,3,129.15,26.1,✓ oververkocht (26.1),✗ neutraal (-37.194),132.8,✓ 132.8% opwaarts (ratio 9.9:1),124.83,✗ 3.5% boven bodem (124.83),300.71,111.87,513.0,✓ 513.00%
2026-06-24,048 Nasdaq/NYSE,FDS,3,216.45,30.0,✓ oververkocht (30.0),✗ neutraal (-53.601),104.5,✓ 104.5% opwaarts (ratio 10.1:1),188.17,✗ 15.0% boven bodem (188.17),442.75,193.97,213.0,✓ 213.00%
2026-06-24,048 Nasdaq/NYSE,ADBE,3,196.57,29.3,✓ oververkocht (29.3),✗ neutraal (-66.345),99.5,✓ 99.5% opwaarts (ratio 9.9:1),194.9,✓ 0.9% boven bodem (194.90),392.1,176.79,0.0,✗ geen dividend
