# MASTERLIJST 043 — Frankfurt
# Laatste update: 22/08/2026
# Criteria: ROE>7% | Debt<130 | Marge>4% | Vol 18%-65% | Omzet>€150,000
# Kolommen: ticker | opname | ROE | Debt | Marge | Vol | Omzet | status [| weken_buiten] [| verwijderd]
# --------------------------------------------------------------------------------
DR0.DE           | opname:2026-08-16 | ROE:53.8% | Debt:69.4 | Marge:44.3% | Vol:51.6% | Omzet:1,341,820 | actief
DRW3.DE          | opname:2026-08-16 | ROE:10.9% | Debt:23.4 | Marge:4.8% | Vol:36.5% | Omzet:1,318,651 | actief
DRW8.DE          | opname:2026-08-22 | ROE:10.9% | Debt:23.4 | Marge:4.8% | Vol:34.6% | Omzet:169,950 | actief
DWNI.DE          | opname:2026-05-08 | ROE:11.0% | Debt:51.3 | Marge:99.6% | Vol:24.4% | Omzet:2,577,040 | actief
DWS.DE           | opname:2026-05-03 | ROE:14.0% | Debt:2.2 | Marge:21.2% | Vol:28.3% | Omzet:5,333,337 | actief
EIN.DE           | opname:2026-08-22 | ROE:15.5% | Debt:19.8 | Marge:6.5% | Vol:27.1% | Omzet:356,886 | actief
ELG.DE           | opname:2026-08-16 | ROE:18.0% | Debt:18.6 | Marge:16.4% | Vol:48.1% | Omzet:4,456,608 | actief
ENI.DE           | opname:2026-08-22 | ROE:10.9% | Debt:65.0 | Marge:5.9% | Vol:27.5% | Omzet:337,462 | actief
ENR.DE           | opname:2026-05-08 | ROE:27.7% | Debt:26.5 | Marge:6.4% | Vol:50.2% | Omzet:334,136,179 | actief
EUZ.DE           | opname:2026-08-22 | ROE:20.1% | Debt:15.2 | Marge:15.9% | Vol:31.4% | Omzet:1,645,389 | actief
EVD.DE           | opname:2026-05-03 | ROE:25.4% | Debt:9.6 | Marge:9.2% | Vol:42.0% | Omzet:16,278,822 | actief
FB2A.DE          | opname:2026-08-22 | ROE:29.8% | Debt:43.0 | Marge:29.8% | Vol:40.4% | Omzet:6,099,857 | actief
FIE.DE           | opname:2026-05-03 | ROE:21.5% | Debt:88.1 | Marge:8.4% | Vol:24.6% | Omzet:2,854,102 | actief
FME.DE           | opname:2026-05-08 | ROE:8.5% | Debt:81.1 | Marge:4.8% | Vol:28.5% | Omzet:31,039,310 | actief
FNTN.DE          | opname:2026-05-03 | ROE:17.7% | Debt:60.7 | Marge:8.8% | Vol:25.2% | Omzet:10,100,862 | actief
FOO.DE           | opname:2026-08-16 | ROE:16.9% | Debt:124.3 | Marge:18.7% | Vol:42.9% | Omzet:1,318,518 | actief
FPE.DE           | opname:2026-08-22 | ROE:17.6% | Debt:8.6 | Marge:9.0% | Vol:20.3% | Omzet:1,155,396 | actief
FPE3.DE          | opname:2026-08-22 | ROE:17.6% | Debt:8.6 | Marge:9.0% | Vol:23.5% | Omzet:4,142,194 | actief
FPMB.DE          | opname:2026-08-22 | ROE:14.8% | Debt:32.1 | Marge:11.4% | Vol:48.2% | Omzet:375,641 | actief
FQT.DE           | opname:2026-08-22 | ROE:18.1% | Debt:29.5 | Marge:4.9% | Vol:58.5% | Omzet:295,911 | actief
FRE.DE           | opname:2026-05-08 | ROE:8.3% | Debt:56.0 | Marge:6.5% | Vol:23.4% | Omzet:40,459,248 | actief
G1A.DE           | opname:2026-05-03 | ROE:18.5% | Debt:10.4 | Marge:7.7% | Vol:22.4% | Omzet:21,730,164 | actief
G24.DE           | opname:2026-08-22 | ROE:22.8% | Debt:59.5 | Marge:40.2% | Vol:31.7% | Omzet:22,952,724 | actief
GFT.DE           | opname:2026-05-08 | ROE:13.8% | Debt:51.8 | Marge:4.0% | Vol:46.7% | Omzet:1,371,394 | actief
GOB.DE           | opname:2026-08-22 | ROE:11.0% | Debt:66.3 | Marge:5.8% | Vol:33.6% | Omzet:175,380 | actief
GS2C.DE          | opname:2026-08-22 | ROE:14.1% | Debt:74.3 | Marge:20.4% | Vol:34.2% | Omzet:227,356 | actief
GS71.DE          | opname:2026-08-22 | ROE:33.4% | Debt:106.5 | Marge:14.5% | Vol:24.5% | Omzet:2,993,152 | actief
GYC.DE           | opname:2026-08-22 | ROE:8.8% | Debt:74.5 | Marge:71.6% | Vol:29.5% | Omzet:1,630,904 | actief
HEI.DE           | opname:2026-05-03 | ROE:11.7% | Debt:50.4 | Marge:9.2% | Vol:36.5% | Omzet:74,266,175 | actief
HEN.DE           | opname:2026-08-22 | ROE:9.4% | Debt:31.9 | Marge:9.4% | Vol:18.8% | Omzet:7,025,914 | actief
HEN3.DE          | opname:2026-05-10 | ROE:9.4% | Debt:31.9 | Marge:9.4% | Vol:19.5% | Omzet:29,744,917 | actief
HMI.DE           | opname:2026-08-22 | ROE:25.5% | Debt:12.0 | Marge:28.0% | Vol:32.4% | Omzet:441,085 | actief
HNR1.DE          | opname:2026-05-03 | ROE:22.2% | Debt:29.0 | Marge:12.1% | Vol:19.6% | Omzet:33,351,563 | actief
HYQ.DE           | opname:2026-08-22 | ROE:7.4% | Debt:41.9 | Marge:4.6% | Vol:52.2% | Omzet:2,192,414 | actief
IFX.DE           | opname:2026-05-08 | ROE:7.0% | Debt:40.2 | Marge:7.8% | Vol:51.1% | Omzet:227,691,202 | actief
INH.DE           | opname:2026-08-16 | ROE:14.2% | Debt:103.3 | Marge:5.5% | Vol:31.8% | Omzet:1,080,484 | actief
ITU.DE           | opname:2026-08-22 | ROE:22.5% | Debt:33.4 | Marge:21.9% | Vol:52.9% | Omzet:302,497 | actief
IVU.DE           | opname:2026-05-03 | ROE:15.9% | Debt:20.2 | Marge:9.2% | Vol:26.9% | Omzet:192,232 | actief
IXX.DE           | opname:2026-08-22 | ROE:13.7% | Debt:52.9 | Marge:5.6% | Vol:34.6% | Omzet:274,533 | actief
JEN.DE           | opname:2026-05-08 | ROE:8.8% | Debt:42.4 | Marge:8.3% | Vol:48.8% | Omzet:5,947,855 | actief
JNJ.DE           | opname:2026-08-22 | ROE:25.7% | Debt:57.7 | Marge:21.5% | Vol:20.2% | Omzet:654,231 | actief
KBX.DE           | opname:2026-05-08 | ROE:19.8% | Debt:74.3 | Marge:7.3% | Vol:27.9% | Omzet:15,973,178 | actief
KIN2.DE          | opname:2026-08-22 | ROE:37.0% | Debt:7.7 | Marge:37.5% | Vol:51.2% | Omzet:226,796 | actief
KLA.DE           | opname:2026-08-22 | ROE:87.5% | Debt:96.9 | Marge:35.6% | Vol:54.9% | Omzet:346,811 | actief
KPN.AS           | opname:2025-03-02 | ROE:19% | Debt:44.0 | Marge:14% | Vol:24% | Omzet:? | actief
KRN.DE           | opname:2026-05-08 | ROE:14.1% | Debt:2.2 | Marge:5.1% | Vol:26.2% | Omzet:3,773,600 | actief
KSB.DE           | opname:2026-06-07 | ROE:11.6% | Debt:4.5 | Marge:4.3% | Vol:41.1% | Omzet:168,089 | actief
KSB3.DE          | opname:2026-05-08 | ROE:11.6% | Debt:4.5 | Marge:4.3% | Vol:38.9% | Omzet:1,578,508 | actief
KTN.DE           | opname:2026-05-03 | ROE:11.9% | Debt:68.2 | Marge:5.6% | Vol:38.7% | Omzet:4,824,429 | actief
KWS.DE           | opname:2026-05-03 | ROE:9.0% | Debt:30.3 | Marge:9.0% | Vol:22.8% | Omzet:1,028,540 | actief
LEG.DE           | opname:2026-05-08 | ROE:15.6% | Debt:108.4 | Marge:87.6% | Vol:26.9% | Omzet:18,093,026 | actief
LOR.DE           | opname:2026-08-22 | ROE:19.4% | Debt:49.3 | Marge:13.9% | Vol:25.8% | Omzet:311,888 | actief
LUS1.DE          | opname:2026-08-22 | ROE:63.6% | Debt:94.7 | Marge:4.1% | Vol:39.3% | Omzet:266,892 | actief
MBB.DE           | opname:2026-08-22 | ROE:15.4% | Debt:5.9 | Marge:5.0% | Vol:36.0% | Omzet:739,468 | actief
MOH.DE           | opname:2026-08-22 | ROE:16.6% | Debt:53.3 | Marge:13.7% | Vol:30.7% | Omzet:2,155,056 | actief
MRK.DE           | opname:2026-05-08 | ROE:8.1% | Debt:40.6 | Marge:11.2% | Vol:29.3% | Omzet:38,346,272 | actief
MSF.DE           | opname:2026-05-03 | ROE:34.0% | Debt:29.1 | Marge:40.3% | Vol:31.6% | Omzet:12,170,649 | actief
MTX.DE           | opname:2026-05-03 | ROE:22.6% | Debt:55.6 | Marge:10.2% | Vol:33.6% | Omzet:52,154,895 | actief
MUM.DE           | opname:2026-05-03 | ROE:44.2% | Debt:75.4 | Marge:13.0% | Vol:27.0% | Omzet:742,129 | actief
MUV2.DE          | opname:2026-05-03 | ROE:21.3% | Debt:24.4 | Marge:11.2% | Vol:20.0% | Omzet:140,837,763 | actief
NDA.DE           | opname:2026-05-08 | ROE:18.3% | Debt:12.5 | Marge:4.5% | Vol:40.0% | Omzet:26,547,022 | actief
NDX1.DE          | opname:2026-05-08 | ROE:32.4% | Debt:34.4 | Marge:5.0% | Vol:48.7% | Omzet:21,222,574 | actief
NEM.DE           | opname:2026-08-22 | ROE:26.3% | Debt:52.1 | Marge:19.6% | Vol:45.7% | Omzet:17,089,657 | actief
NFC.DE           | opname:2026-08-22 | ROE:49.5% | Debt:55.2 | Marge:28.2% | Vol:34.4% | Omzet:2,212,420 | actief
NKE.DE           | opname:2026-08-22 | ROE:22.1% | Debt:74.3 | Marge:6.7% | Vol:33.2% | Omzet:1,312,469 | actief
NMM.DE           | opname:2026-08-16 | ROE:25.9% | Debt:15.8 | Marge:33.4% | Vol:46.9% | Omzet:1,130,582 | actief
NNGF.DE          | opname:2026-08-22 | ROE:8.4% | Debt:121.3 | Marge:18.3% | Vol:22.5% | Omzet:1,541,153 | actief
NOT.DE           | opname:2026-08-22 | ROE:30.3% | Debt:116.8 | Marge:22.5% | Vol:20.4% | Omzet:250,834 | actief
NOV.DE           | opname:2026-08-16 | ROE:59.8% | Debt:63.3 | Marge:35.3% | Vol:54.9% | Omzet:10,582,462 | actief
NVD.DE           | opname:2026-08-16 | ROE:114.3% | Debt:6.6 | Marge:63.0% | Vol:35.3% | Omzet:24,274,339 | actief
OMV.DE           | opname:2026-08-22 | ROE:8.8% | Debt:37.6 | Marge:10.6% | Vol:22.8% | Omzet:535,770 | actief
