datum,exchange,ticker,score,price,n_contracties,laatste_pct,pivot,stop,breakout,breakout_vol,stage2,pct_krimpt,tijd_krimpt,vol_krimpt,total_score
2026-06-29,048 Nasdaq/NYSE,GE,6,373.71,2,9.25,319.14,276.09,True,0.49,True,True,False,True,105
2026-06-29,048 Nasdaq/NYSE,PKG,6,237.65,2,6.02,229.75,209.59,True,0.49,True,True,True,False,100
2026-06-29,048 Nasdaq/NYSE,CHD,4,97.9,5,6.44,96.5149,92.46,True,1.06,True,False,False,False,95
2026-06-29,048 Nasdaq/NYSE,DGX,4,212.64,5,7.07,204.1097,190.49,True,0.84,True,False,False,False,95
2026-06-29,048 Nasdaq/NYSE,KVUE,4,19.07,5,7.36,17.6474,16.48,True,1.03,True,False,False,False,95
2026-06-29,048 Nasdaq/NYSE,PPG,5,120.91,2,11.6,117.6033,98.25,True,0.61,True,False,True,True,95
2026-06-29,048 Nasdaq/NYSE,WAB,7,268.3,2,5.07,274.1565,250.56,False,0.87,True,True,True,True,95
2026-06-29,048 Nasdaq/NYSE,MRK,4,129.38,4,8.98,123.1147,109.94,True,0.69,True,False,False,False,90
2026-06-29,048 Nasdaq/NYSE,FAST,4,47.4,2,6.57,45.64,44.12,True,1.19,True,False,False,False,80
2026-06-29,048 Nasdaq/NYSE,PHM,5,137.94,2,6.07,132.8582,112.64,True,0.55,False,True,True,False,80
2026-06-29,048 Nasdaq/NYSE,TER,4,463.21,2,19.08,382.8554,323.86,True,1.13,True,False,True,False,80
2026-06-29,048 Nasdaq/NYSE,MHK,4,118.77,3,6.72,107.39,98.98,True,0.56,False,False,True,False,75
2026-06-29,048 Nasdaq/NYSE,EMR,4,142.82,4,6.29,152.185,134.26,False,0.78,True,False,False,False,70
2026-06-29,048 Nasdaq/NYSE,VRTX,4,499.65,2,6.72,447.82,419.68,True,1.37,False,False,True,False,70
2026-06-29,048 Nasdaq/NYSE,GRMN,5,233.76,2,4.67,241.7094,227.18,False,0.87,False,False,True,True,65
2026-06-29,048 Nasdaq/NYSE,SYK,5,330.52,3,5.16,352.8,294.67,False,0.74,False,True,True,False,65
2026-06-29,048 Nasdaq/NYSE,TDY,4,641.22,3,5.81,663.95,591.17,False,1.03,True,False,False,False,65
2026-06-29,048 Nasdaq/NYSE,DHI,5,164.23,2,5.44,166.4763,141.06,False,0.82,False,True,True,False,60
2026-06-29,048 Nasdaq/NYSE,NOC,4,496.02,2,6.36,705.4452,518.81,False,1.19,False,True,True,False,50
2026-06-29,048 Nasdaq/NYSE,PFE,4,24.37,2,4.79,27.3978,24.99,False,1.15,False,True,True,False,50
