datum,exchange,ticker,vcp_score,rs,price,pivot,stop,pct_from_high,pct_from_low,total_score
2026-07-27,049 Stockholm,BRAV.ST,2,79.6,140.4,140.4,129.17,0.0,85.9,74.3
2026-07-27,049 Stockholm,NIL-B.ST,2,70.1,75.0,75.5,74.3,0.7,58.4,70.2
