datum,exchange,ticker,score,price,n_contracties,laatste_pct,pivot,stop,breakout,breakout_vol,stage2,pct_krimpt,tijd_krimpt,vol_krimpt,total_score
2026-06-25,048 Nasdaq/NYSE,WAB,7,282.45,2,5.07,274.1565,250.78,True,0.71,True,True,True,True,115
2026-06-25,048 Nasdaq/NYSE,GE,6,371.36,2,9.25,319.14,275.9,True,0.72,True,True,False,True,105
2026-06-25,048 Nasdaq/NYSE,PKG,6,241.09,2,6.02,229.75,209.57,True,0.42,True,True,True,False,100
2026-06-25,048 Nasdaq/NYSE,KVUE,4,18.96,5,7.36,17.6474,16.47,True,1.44,True,False,False,False,95
2026-06-25,048 Nasdaq/NYSE,MRK,5,125.45,3,7.12,123.1147,111.91,True,1.27,True,False,True,False,95
2026-06-25,048 Nasdaq/NYSE,PPG,5,122.4,2,11.6,117.6033,98.22,True,0.66,True,False,True,True,95
2026-06-25,048 Nasdaq/NYSE,CHD,4,98.15,4,6.94,96.5149,91.38,True,0.62,True,False,False,False,90
2026-06-25,048 Nasdaq/NYSE,TER,5,471.96,2,19.08,382.8554,325.36,True,1.57,True,False,True,False,90
2026-06-25,048 Nasdaq/NYSE,DHI,5,166.95,2,5.44,166.4763,140.9,True,0.7,False,True,True,False,80
2026-06-25,048 Nasdaq/NYSE,FAST,4,46.92,2,6.57,45.64,44.09,True,0.87,True,False,False,False,80
2026-06-25,048 Nasdaq/NYSE,PHM,5,135.81,2,6.07,132.8582,112.52,True,0.72,False,True,True,False,80
2026-06-25,048 Nasdaq/NYSE,MHK,4,121.0,3,6.72,107.39,98.85,True,0.93,False,False,True,False,75
2026-06-25,048 Nasdaq/NYSE,EMR,4,145.34,4,6.29,152.185,134.16,False,0.84,True,False,False,False,70
2026-06-25,048 Nasdaq/NYSE,VRTX,4,480.18,2,6.72,447.82,420.09,True,1.18,False,False,True,False,70
2026-06-25,048 Nasdaq/NYSE,GRMN,5,235.41,2,4.67,241.7094,227.08,False,0.86,False,False,True,True,65
2026-06-25,048 Nasdaq/NYSE,MCHP,4,94.12,2,14.38,100.25,82.6,False,0.81,True,False,True,False,60
2026-06-25,048 Nasdaq/NYSE,EOG,4,133.59,2,9.3,142.85,130.21,False,0.93,False,False,False,True,55
2026-06-25,048 Nasdaq/NYSE,SYK,4,316.11,3,5.16,352.8,294.85,False,0.66,False,True,True,False,55
2026-06-25,048 Nasdaq/NYSE,NOC,4,499.33,2,6.36,705.4452,518.47,False,0.83,False,True,True,False,50
2026-06-25,048 Nasdaq/NYSE,PFE,4,23.67,2,4.79,27.3978,24.99,False,1.25,False,True,True,False,50
