datum,exchange,ticker,score,price,rsi_monthly,rsi_label,macd_label,rr_pct,rr_label,support,support_label,resistance,stop,div_yield,div_label
2026-06-19,048 Nasdaq/NYSE,INTU,4,267.0,28.9,✓ oververkocht (28.9),✗ neutraal (-60.901),200.4,✓ 200.4% opwaarts (ratio 15.6:1),267.0,✓ 0.0% boven bodem (267.00),801.96,232.68,171.0,✓ 171.00%
2026-06-19,048 Nasdaq/NYSE,ACN,4,127.98,26.0,✓ oververkocht (26.0),✗ neutraal (-37.287),136.2,✓ 136.2% opwaarts (ratio 9.5:1),127.98,✓ 0.0% boven bodem (127.98),302.29,109.56,394.0,✓ 394.00%
2026-06-19,048 Nasdaq/NYSE,CTSH,4,43.7,33.7,✓ oververkocht (33.7),✗ neutraal (-3.979),96.0,✓ 96.0% opwaarts (ratio 9.1:1),43.7,✓ 0.0% boven bodem (43.70),85.66,39.08,259.0,✓ 259.00%
2026-06-19,048 Nasdaq/NYSE,MKC,4,46.64,31.7,✓ oververkocht (31.7),✗ neutraal (-6.211),61.6,✓ 61.6% opwaarts (ratio 10.3:1),45.6,✓ 2.3% boven bodem (45.60),75.37,43.86,407.0,✓ 407.00%
2026-06-19,048 Nasdaq/NYSE,TTD,3,18.51,32.1,✓ oververkocht (32.1),✗ neutraal (-17.384),384.9,✓ 384.9% opwaarts (ratio 30.0:1),18.16,✓ 1.9% boven bodem (18.16),89.76,16.13,0.0,✗ geen dividend
2026-06-19,048 Nasdaq/NYSE,BSX,3,45.29,25.6,✓ oververkocht (25.6),✗ neutraal (-5.208),138.8,✓ 138.8% opwaarts (ratio 18.5:1),44.95,✓ 0.8% boven bodem (44.95),108.14,41.89,0.0,✗ geen dividend
2026-06-19,048 Nasdaq/NYSE,ADBE,3,195.16,29.2,✓ oververkocht (29.2),✗ neutraal (-66.458),100.9,✓ 100.9% opwaarts (ratio 9.3:1),195.16,✓ 0.0% boven bodem (195.16),392.1,173.94,0.0,✗ geen dividend
2026-06-19,048 Nasdaq/NYSE,PYPL,3,42.51,34.4,✓ oververkocht (34.4),✗ neutraal (-6.239),82.4,✓ 82.4% opwaarts (ratio 13.0:1),38.83,✗ 9.5% boven bodem (38.83),77.55,39.82,128.0,✓ 128.00%
2026-06-19,048 Nasdaq/NYSE,CMCSA,3,22.43,35.0,✓ oververkocht (35.0),✗ neutraal (-2.450),45.4,✓ 45.4% opwaarts (ratio 7.4:1),22.43,✓ 0.0% boven bodem (22.43),32.62,21.05,0.0,✗ geen dividend
2026-06-19,048 Nasdaq/NYSE,FOXA,3,52.23,48.3,✗ neutraal (48.3),✗ neutraal (5.408),45.0,✓ 45.0% opwaarts (ratio 4.2:1),51.32,✓ 1.8% boven bodem (51.32),75.74,46.69,107.0,✓ 107.00%
2026-06-19,048 Nasdaq/NYSE,PPG,3,nan,51.4,✓ herstel (51.4 ↑),✓ histogram ↑ (2.023),0.0,✗ onvoldoende,93.07,✗ nan% boven bodem (93.07),129.96,nan,235.0,✓ 235.00%
