datum,exchange,ticker,score,price,rs,eps_q_growth,eps_cagr,inst_pct,pct_from_high,vol_ratio,stop,c_ok,a_ok,n_ok,s_ok,l_ok,i_ok,m_ok,total_score
2026-06-30,048 Nasdaq/NYSE,CIEN,4,490.56,98.5,2333.0,-30.4,98.0,21.8,0.62,451.32,True,False,False,False,True,True,True,293.0
2026-06-30,048 Nasdaq/NYSE,GEV,5,1174.86,94.4,1768.1,0.0,79.7,0.0,0.99,1080.87,True,False,True,False,True,True,True,255.7
2026-06-30,048 Nasdaq/NYSE,MU,5,1154.29,98.8,1398.3,0.0,81.5,4.9,0.89,1061.95,True,False,True,False,True,True,True,219.6
2026-06-30,048 Nasdaq/NYSE,COHR,5,394.47,97.6,1118.3,0.0,89.8,7.6,1.04,362.91,True,False,True,False,True,True,True,181.3
2026-06-30,048 Nasdaq/NYSE,PFG,4,107.78,73.8,782.7,37.9,81.1,4.1,0.85,99.16,True,False,True,False,False,True,True,128.3
2026-06-30,048 Nasdaq/NYSE,LLY,7,1199.43,82.9,168.1,98.5,85.4,2.5,1.35,1103.48,True,True,True,True,True,True,True,113.4
2026-06-30,048 Nasdaq/NYSE,TER,5,483.84,98.3,303.4,11.1,96.5,0.0,1.07,445.13,True,False,True,False,True,True,True,110.0
2026-06-30,048 Nasdaq/NYSE,AMD,6,580.91,97.9,95.1,125.3,72.2,0.0,0.89,534.44,True,True,True,False,True,True,True,99.1
2026-06-30,048 Nasdaq/NYSE,FIX,6,1981.95,97.0,38.2,77.8,96.8,4.1,0.6,1823.39,True,True,True,False,True,True,True,93.2
2026-06-30,048 Nasdaq/NYSE,GLW,5,255.43,98.1,136.3,65.7,73.7,0.1,1.03,235.0,True,False,True,False,True,True,True,93.2
2026-06-30,048 Nasdaq/NYSE,WST,6,359.0,86.5,54.6,-8.8,103.9,0.0,1.44,330.28,True,False,True,True,True,True,True,92.8
2026-06-30,048 Nasdaq/NYSE,APH,6,176.32,89.0,26.5,48.8,97.9,0.0,0.97,162.21,True,True,True,False,True,True,True,90.5
2026-06-30,048 Nasdaq/NYSE,FTNT,6,153.62,88.3,23.3,27.1,72.6,1.2,1.45,141.33,False,True,True,True,True,True,True,87.7
2026-06-30,048 Nasdaq/NYSE,GOOGL,6,357.37,91.9,81.2,33.8,80.8,11.2,0.77,328.78,True,True,True,False,True,True,True,86.5
2026-06-30,048 Nasdaq/NYSE,GOOG,6,353.33,91.3,81.2,33.8,61.1,11.4,0.8,325.06,True,True,True,False,True,True,True,86.4
2026-06-30,048 Nasdaq/NYSE,FFIV,6,415.96,81.5,1.5,32.4,110.3,0.0,1.52,382.68,False,True,True,True,True,True,True,86.3
2026-06-30,048 Nasdaq/NYSE,GNRC,5,292.81,93.3,67.1,-11.4,94.1,0.9,0.95,269.39,True,False,True,False,True,True,True,85.4
2026-06-30,048 Nasdaq/NYSE,LRCX,5,433.33,97.8,37.2,9.0,88.1,0.0,0.97,398.66,True,False,True,False,True,True,True,83.3
2026-06-30,048 Nasdaq/NYSE,AMAT,5,723.0,97.4,31.3,1.0,85.2,0.0,0.8,665.16,True,False,True,False,True,True,True,82.6
2026-06-30,048 Nasdaq/NYSE,ROK,5,495.08,83.8,38.9,-20.8,90.9,0.0,0.53,455.47,True,False,True,False,True,True,True,80.7
2026-06-30,048 Nasdaq/NYSE,MNST,5,96.12,82.8,28.6,8.1,71.0,1.6,0.97,88.43,True,False,True,False,True,True,True,79.4
2026-06-30,048 Nasdaq/NYSE,PANW,5,341.02,93.8,0.0,60.6,83.3,0.0,1.64,313.74,False,False,True,True,True,True,True,78.8
2026-06-30,048 Nasdaq/NYSE,ADI,5,397.17,85.8,106.5,-17.3,93.5,10.8,0.93,365.4,True,False,True,False,True,True,True,77.8
2026-06-30,048 Nasdaq/NYSE,VLO,5,260.44,87.8,0.0,-48.4,87.9,2.2,1.29,239.6,False,False,True,True,True,True,True,77.6
2026-06-30,048 Nasdaq/NYSE,HST,5,23.71,83.7,99.2,1.7,105.7,5.7,0.98,21.81,True,False,True,False,True,True,True,76.7
2026-06-30,048 Nasdaq/NYSE,MRK,5,128.5,82.4,0.0,607.2,82.2,0.7,0.7,118.22,False,True,True,False,True,True,True,76.5
2026-06-30,048 Nasdaq/NYSE,PWR,5,720.04,90.8,52.9,17.5,95.2,8.3,0.58,662.44,True,False,True,False,True,True,True,73.5
2026-06-30,048 Nasdaq/NYSE,TECH,5,70.65,78.5,126.0,-49.3,118.4,0.7,2.08,65.0,True,False,True,True,False,True,True,72.6
2026-06-30,048 Nasdaq/NYSE,KEYS,5,350.07,93.1,35.8,-10.3,92.8,6.2,0.67,322.06,True,False,True,False,True,True,True,72.2
2026-06-30,048 Nasdaq/NYSE,CSCO,5,117.46,89.5,35.4,-10.2,82.9,9.6,1.2,108.06,True,False,True,False,True,True,True,71.4
2026-06-30,048 Nasdaq/NYSE,TXN,5,298.07,85.3,31.0,-12.4,92.7,10.3,0.98,274.22,True,False,True,False,True,True,True,70.2
2026-06-30,048 Nasdaq/NYSE,ROST,5,212.85,80.6,35.6,7.0,94.7,11.4,0.7,195.82,True,False,True,False,True,True,True,69.7
2026-06-30,048 Nasdaq/NYSE,KLAC,4,301.71,97.2,10.3,9.5,93.8,0.0,0.98,277.57,False,False,True,False,True,True,True,69.4
2026-06-30,048 Nasdaq/NYSE,CMI,4,713.21,94.0,-20.6,96.7,88.0,2.0,0.61,656.15,False,False,True,False,True,True,True,68.8
2026-06-30,048 Nasdaq/NYSE,JBHT,4,289.43,92.9,20.2,-9.4,78.5,0.0,1.1,266.28,False,False,True,False,True,True,True,68.6
2026-06-30,048 Nasdaq/NYSE,DAL,4,93.66,92.4,0.0,4.2,83.9,0.0,0.9,86.17,False,False,True,False,True,True,True,68.5
2026-06-30,048 Nasdaq/NYSE,GE,4,373.73,80.4,-3.7,-4.2,81.0,0.0,0.92,343.83,False,False,True,False,True,True,True,66.1
2026-06-30,048 Nasdaq/NYSE,STLD,4,229.46,87.4,85.8,-30.4,89.4,18.8,0.77,211.1,True,False,False,False,True,True,True,66.1
2026-06-30,048 Nasdaq/NYSE,MPWR,4,1382.36,89.2,43.1,20.6,101.1,18.2,0.84,1271.77,True,False,False,False,True,True,True,62.2
2026-06-30,048 Nasdaq/NYSE,AIZ,4,268.53,73.7,87.0,16.5,97.7,0.0,0.73,247.05,True,False,True,False,False,True,True,58.7
2026-06-30,048 Nasdaq/NYSE,DINO,4,69.65,85.6,0.0,-39.7,84.1,5.9,0.85,64.08,False,False,True,False,True,True,True,57.1
2026-06-30,048 Nasdaq/NYSE,HWM,5,268.86,75.3,68.6,40.4,94.5,5.1,0.42,247.35,True,True,True,False,False,True,True,56.9
2026-06-30,048 Nasdaq/NYSE,FSLR,5,235.96,74.7,65.4,35.6,94.5,25.9,1.26,217.08,True,True,False,True,False,True,True,56.5
