datum,exchange,ticker,score,price,n_contracties,laatste_pct,pivot,stop,breakout,breakout_vol,stage2,pct_krimpt,tijd_krimpt,vol_krimpt,total_score
2026-07-01,048 Nasdaq/NYSE,GE,6,374.94,2,9.25,319.14,276.35,True,0.41,True,True,False,True,105
2026-07-01,048 Nasdaq/NYSE,PKG,6,237.93,2,6.02,229.75,209.77,True,0.52,True,True,True,False,100
2026-07-01,048 Nasdaq/NYSE,CHD,4,97.21,5,6.44,96.5149,92.51,True,0.45,True,False,False,False,95
2026-07-01,048 Nasdaq/NYSE,DGX,4,216.02,5,7.07,204.1097,190.5,True,0.75,True,False,False,False,95
2026-07-01,048 Nasdaq/NYSE,KVUE,4,19.33,5,7.36,17.6474,16.48,True,0.7,True,False,False,False,95
2026-07-01,048 Nasdaq/NYSE,PPG,5,122.61,2,11.6,117.6033,98.33,True,0.73,True,False,True,True,95
2026-07-01,048 Nasdaq/NYSE,MRK,4,125.37,4,8.98,123.1147,109.91,True,0.65,True,False,False,False,90
2026-07-01,048 Nasdaq/NYSE,ALGN,4,181.49,2,10.54,177.66,161.59,True,1.26,True,False,True,False,80
2026-07-01,048 Nasdaq/NYSE,FAST,4,47.75,2,6.57,45.64,44.12,True,0.85,True,False,False,False,80
2026-07-01,048 Nasdaq/NYSE,TER,4,427.34,2,19.08,382.8554,323.11,True,1.17,True,False,True,False,80
2026-07-01,048 Nasdaq/NYSE,MHK,4,119.86,3,6.72,107.39,98.99,True,0.74,False,False,True,False,75
2026-07-01,048 Nasdaq/NYSE,WAB,6,264.0,2,5.07,274.1565,250.71,False,0.54,False,True,True,True,75
2026-07-01,048 Nasdaq/NYSE,TDY,4,661.2,4,5.63,663.95,596.25,False,0.89,True,False,False,False,70
2026-07-01,048 Nasdaq/NYSE,VRTX,4,498.01,2,6.72,447.82,419.9,True,0.82,False,False,True,False,70
2026-07-01,048 Nasdaq/NYSE,GRMN,5,237.64,2,4.67,241.7094,227.18,False,0.57,False,False,True,True,65
2026-07-01,048 Nasdaq/NYSE,DHI,5,157.06,2,5.44,166.4763,141.07,False,0.94,False,True,True,False,60
2026-07-01,048 Nasdaq/NYSE,PHM,5,132.59,2,6.07,132.8582,112.66,False,0.63,False,True,True,False,60
2026-07-01,048 Nasdaq/NYSE,PYPL,4,44.07,3,6.91,51.6996,40.95,False,1.21,False,True,True,False,55
2026-07-01,048 Nasdaq/NYSE,SYK,4,313.39,3,5.16,351.8607,293.54,False,0.8,False,True,True,False,55
2026-07-01,048 Nasdaq/NYSE,NOC,4,519.95,2,6.36,705.4452,518.71,False,0.92,False,True,True,False,50
2026-07-01,048 Nasdaq/NYSE,PFE,4,23.88,2,4.79,27.3978,24.99,False,1.19,False,True,True,False,50
