# MASTERLIJST 057 — NYSE
# Laatste update: 30/08/2026
# Nitro Criteria: ROE>4% | Debt<140 | Marge>3% | Vol 35%-95% | Omzet>€2,500,000
# Kolommen: ticker | opname | ROE | Debt | Marge | Vol | Omzet | status [| weken_buiten] [| verwijderd]
# --------------------------------------------------------------------------------
ENS              | opname:2026-08-16 | ROE:18.4% | Debt:56.1 | Marge:9.3% | Vol:41.4% | Omzet:79,278,832 | actief
ERO              | opname:2026-08-16 | ROE:30.8% | Debt:47.1 | Marge:29.8% | Vol:61.6% | Omzet:37,201,152 | actief
FCX              | opname:2026-08-16 | ROE:14.8% | Debt:32.1 | Marge:11.4% | Vol:51.0% | Omzet:960,961,833 | actief
FDS              | opname:2026-08-16 | ROE:27.0% | Debt:77.3 | Marge:23.2% | Vol:47.1% | Omzet:228,251,072 | actief
FIGS             | opname:2026-08-16 | ROE:14.8% | Debt:13.0 | Marge:8.7% | Vol:69.2% | Omzet:34,818,599 | actief
FIX              | opname:2026-08-16 | ROE:55.3% | Debt:45.5 | Marge:12.8% | Vol:56.7% | Omzet:632,111,871 | actief
FLOC             | opname:2026-08-16 | ROE:10.1% | Debt:25.2 | Marge:6.1% | Vol:46.4% | Omzet:10,901,887 | actief
FLS              | opname:2026-08-16 | ROE:16.9% | Debt:99.6 | Marge:8.0% | Vol:50.0% | Omzet:136,252,502 | actief
FSM              | opname:2026-08-16 | ROE:24.1% | Debt:12.9 | Marge:32.0% | Vol:58.1% | Omzet:86,703,590 | actief
FTK              | opname:2026-08-16 | ROE:37.8% | Debt:44.3 | Marge:13.0% | Vol:78.3% | Omzet:7,506,070 | actief
GEO              | opname:2026-08-16 | ROE:20.1% | Debt:106.1 | Marge:10.3% | Vol:49.1% | Omzet:43,071,376 | actief
GEV              | opname:2026-08-16 | ROE:82.6% | Debt:28.4 | Marge:23.0% | Vol:52.5% | Omzet:2,307,184,686 | actief
GLW              | opname:2026-08-16 | ROE:16.8% | Debt:71.4 | Marge:11.2% | Vol:70.4% | Omzet:1,549,135,947 | actief
GMED             | opname:2026-08-16 | ROE:11.8% | Debt:2.3 | Marge:17.0% | Vol:48.9% | Omzet:121,904,964 | actief
GRC              | opname:2026-08-16 | ROE:14.9% | Debt:62.3 | Marge:8.9% | Vol:35.7% | Omzet:9,112,505 | actief
GRDN             | opname:2026-08-16 | ROE:30.4% | Debt:15.2 | Marge:4.5% | Vol:41.5% | Omzet:12,797,117 | actief
GWRE             | opname:2026-08-16 | ROE:11.9% | Debt:53.5 | Marge:11.2% | Vol:57.4% | Omzet:214,151,115 | actief
HAL              | opname:2026-08-16 | ROE:14.9% | Debt:74.2 | Marge:7.2% | Vol:36.3% | Omzet:419,930,671 | actief
HCC              | opname:2026-08-16 | ROE:10.0% | Debt:10.3 | Marge:13.0% | Vol:53.2% | Omzet:69,456,256 | actief
HIPO             | opname:2026-08-16 | ROE:30.3% | Debt:10.9 | Marge:23.9% | Vol:37.6% | Omzet:4,877,019 | actief
HL               | opname:2026-08-16 | ROE:22.2% | Debt:80.2 | Marge:19.2% | Vol:74.3% | Omzet:438,794,367 | actief
HLIO             | opname:2026-08-16 | ROE:7.7% | Debt:37.0 | Marge:8.0% | Vol:39.3% | Omzet:22,551,682 | actief
HOG              | opname:2026-08-16 | ROE:6.1% | Debt:74.0 | Marge:4.8% | Vol:38.3% | Omzet:62,568,377 | actief
HPE              | opname:2026-08-16 | ROE:6.3% | Debt:84.0 | Marge:4.0% | Vol:53.0% | Omzet:731,375,325 | actief
HRTG             | opname:2026-08-16 | ROE:45.3% | Debt:16.2 | Marge:25.2% | Vol:57.1% | Omzet:10,459,879 | actief
IIPR             | opname:2026-08-16 | ROE:7.4% | Debt:32.9 | Marge:52.3% | Vol:38.3% | Omzet:17,677,349 | actief
IMAX             | opname:2026-08-16 | ROE:11.0% | Debt:62.7 | Marge:9.8% | Vol:43.1% | Omzet:46,330,650 | actief
INR              | opname:2026-08-22 | ROE:19.3% | Debt:37.3 | Marge:11.5% | Vol:46.7% | Omzet:4,743,365 | actief
INSW             | opname:2026-08-16 | ROE:37.4% | Debt:28.8 | Marge:61.8% | Vol:38.6% | Omzet:35,509,045 | actief
INVX             | opname:2026-08-16 | ROE:6.0% | Debt:7.0 | Marge:6.2% | Vol:43.7% | Omzet:11,846,223 | actief
