datum,exchange,ticker,score,price,rs,eps_q_growth,eps_cagr,inst_pct,pct_from_high,vol_ratio,stop,c_ok,a_ok,n_ok,s_ok,l_ok,i_ok,m_ok,total_score
2026-06-24,043 Frankfurt,NDX1.DE,6,43.34,93.6,576.9,0.0,38.8,13.3,1.56,39.87,True,False,True,True,True,True,True,136.4
2026-06-24,043 Frankfurt,NDA.DE,6,186.7,92.9,193.9,95.6,46.3,14.8,0.59,171.76,True,True,True,False,True,True,True,98.0
2026-06-24,043 Frankfurt,JEN.DE,5,46.08,95.6,80.5,-0.3,54.5,2.9,0.9,42.39,True,False,True,False,True,True,True,87.2
2026-06-24,043 Frankfurt,BSL.DE,5,28.9,96.5,172.5,0.0,22.4,9.4,1.02,26.59,True,False,True,False,True,True,True,86.5
2026-06-24,043 Frankfurt,REP.DE,5,21.19,81.9,153.8,-22.6,36.6,14.3,0.66,19.49,True,False,True,False,True,True,True,81.8
2026-06-24,043 Frankfurt,ENR.DE,5,159.86,81.7,76.5,0.0,55.8,14.8,0.94,147.07,True,False,True,False,True,True,True,74.0
2026-06-24,043 Frankfurt,AIXA.DE,4,53.34,97.2,0.0,-23.4,65.6,11.7,1.19,49.07,False,False,True,False,True,True,True,59.4
2026-06-24,043 Frankfurt,IFX.DE,4,79.56,95.9,0.0,-43.1,59.4,9.6,0.98,73.2,False,False,True,False,True,True,True,59.2
2026-06-24,043 Frankfurt,ASML.AS,4,1553.8,94.3,17.1,10.7,46.7,7.3,0.96,1429.5,False,False,True,False,True,True,True,58.9
2026-06-24,043 Frankfurt,SMHN.DE,4,92.95,93.8,-85.2,0.0,77.1,16.8,1.6,85.51,False,False,False,True,True,True,True,58.8
