datum,exchange,ticker,score,price,rs,eps_q_growth,eps_cagr,inst_pct,pct_from_high,vol_ratio,stop,c_ok,a_ok,n_ok,s_ok,l_ok,i_ok,m_ok,total_score
2026-06-25,044 Spanje/Port,REP.MC,5,21.44,83.2,153.8,-22.6,36.6,13.5,0.92,19.72,True,False,True,False,True,True,True,82.0
2026-06-25,044 Spanje/Port,MTS.MC,5,54.28,92.0,-28.6,85.2,28.1,12.6,0.65,49.94,False,True,True,False,True,True,True,68.4
2026-06-25,044 Spanje/Port,ENO.MC,4,39.2,87.1,0.0,0.3,7.8,4.8,1.1,36.06,False,False,True,False,True,True,True,67.4
2026-06-25,044 Spanje/Port,ART.MC,4,32.4,96.3,0.0,56.8,7.4,26.4,0.49,29.81,False,True,False,False,True,True,True,59.3
2026-06-25,044 Spanje/Port,ALNT.MC,4,10.1,71.3,34.8,-29.1,12.4,3.8,0.88,9.29,True,False,True,False,False,True,True,53.5
2026-06-25,044 Spanje/Port,ELE.MC,4,39.47,75.1,24.4,72.1,11.7,0.0,1.2,36.31,False,True,True,False,False,True,True,50
