datum,exchange,ticker,score,price,rs,eps_q_growth,eps_cagr,inst_pct,pct_from_high,vol_ratio,stop,c_ok,a_ok,n_ok,s_ok,l_ok,i_ok,m_ok,total_score
2026-06-29,044 Spanje/Port,REP.MC,5,21.57,82.4,153.8,-22.6,36.4,13.0,1.13,19.84,True,False,True,False,True,True,True,81.9
2026-06-29,044 Spanje/Port,ELE.MC,5,39.8,76.3,24.4,72.1,11.7,0.0,1.5,36.62,False,True,True,True,False,True,True,60
2026-06-29,044 Spanje/Port,ART.MC,4,33.2,96.7,0.0,56.8,7.3,24.5,0.69,30.54,False,True,False,False,True,True,True,59.3
2026-06-29,044 Spanje/Port,MTS.MC,4,51.52,88.5,-28.6,85.2,28.1,17.1,0.73,47.4,False,True,False,False,True,True,True,57.7
2026-06-29,044 Spanje/Port,ENO.MC,4,38.95,87.4,0.0,0.3,7.8,5.4,1.1,35.83,False,False,True,False,True,True,True,57.5
2026-06-29,044 Spanje/Port,MRL.MC,4,15.44,70.1,-8.6,0.0,35.9,2.0,1.21,14.2,False,False,True,True,False,True,True,50
